Animal,Parmfile,HR,Probe HR,FAR,Number of Probe Targets,Number of Targets,Number of References,Probe DI (%),DI (%),Probe RT (s),Difficulty,zprobeHR,zHR,zFAR,d prime,probe d prime,Criterion
Babybell,bbl017c02_a_PTD.m,0.96,0.8,0.35,10,47,95,0.78,0.84,0.42,Easy,0.841621234,1.750686071,-0.385320466,2.136006538,1.2269417,-0.682682802
Babybell,bbl019h03_a_PTD.m,0.88,0.7,0.27,10,52,88,0.68,0.77,0.44,Easy,0.524400513,1.174986792,-0.612812991,1.787799783,1.137213504,-0.281086901
Babybell,bbl019h04_a_PTD.m,0.72,0.75,0.26,12,64,97,0.71,0.69,0.54,Hard,0.67448975,0.582841507,-0.643345405,1.226186913,1.317835156,0.030251949
Babybell,bbl020b03_a_PTD.m,0.96,0.8,0.33,10,48,105,0.69,0.78,0.56,Easy,0.841621234,1.750686071,-0.439913166,2.190599237,1.281534399,-0.655386453
Babybell,bbl020b05_a_PTD.m,0.96,0.94,0.38,9,47,105,0.84,0.8,0.38,Hard,1.554773595,1.750686071,-0.305480788,2.056166859,1.860254383,-0.722602642
Babybell,bbl020c02_a_PTD.m,0.99,0.94,0.42,9,46,120,0.73,0.78,0.53,Easy,1.554773595,2.326347874,-0.201893479,2.528241353,1.756667074,-1.062227197
Babybell,bbl020c03_a_PTD.m,0.83,0.95,0.44,11,54,135,0.82,0.74,0.44,Hard,1.644853627,0.954165253,-0.150969215,1.105134469,1.795822842,-0.401598019
Babybell,bbl020c05_a_PTD.m,0.99,0.95,0.37,10,48,105,0.79,0.81,0.42,Easy,1.644853627,2.326347874,-0.331853346,2.65820122,1.976706973,-0.997247264
Babybell,bbl020c07_a_PTD.m,0.72,0.8,0.2,10,47,71,0.77,0.75,0.45,Hard,0.841621234,0.582841507,-0.841621234,1.424462741,1.683242467,0.129389863
Babybell,bbl021f04_a_PTD.m,0.99,0.94,0.37,9,45,105,0.85,0.86,0.26,Easy,1.554773595,2.326347874,-0.331853346,2.65820122,1.886626941,-0.997247264
Babybell,bbl021h04_a_PTD.m,0.67,0.62,0.4,8,39,96,0.67,0.64,0.28,Hard,0.305480788,0.439913166,-0.253347103,0.693260269,0.558827891,-0.093283031
Babybell,bbl021h05_a_PTD.m,0.96,0.89,0.39,9,46,132,0.79,0.83,0.31,Easy,1.22652812,1.750686071,-0.279319034,2.030005106,1.505847154,-0.735683518
Babybell,bbl022d03_a_PTD.m,0.72,0.83,0.36,12,60,137,0.71,0.65,0.53,Hard,0.954165253,0.582841507,-0.358458793,0.941300301,1.312624046,-0.112191357
Babybell,bbl022d04_a_PTD.m,0.94,0.7,0.33,10,50,110,0.6,0.75,0.62,Easy,0.524400513,1.554773595,-0.439913166,1.99468676,0.964313678,-0.557430214
Babybell,bbl022g03_a_PTD.m,0.99,0.94,0.42,9,47,132,0.88,0.86,0.23,Hard,1.554773595,2.326347874,-0.201893479,2.528241353,1.756667074,-1.062227197
Babybell,bbl022g07_a_PTD.m,0.98,0.94,0.31,9,47,88,0.84,0.84,0.22,Easy,1.554773595,2.053748911,-0.495850347,2.549599258,2.050623942,-0.778949282
