,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,state_chan_alt
0,BRT016f-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,,95.0,0.7391402909455144,0.01159843015041325,0.357301036522354,1.1523583419423844,baseline
1,BRT016f-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,-0.001865330531196566,95.0,0.7391402909455144,0.01159843015041325,0.004541331842942261,0.027204499120301824,pupil
2,BRT016f-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,0.00023066719291652408,95.0,0.7391402909455144,0.01159843015041325,-0.04437601040308013,0.09273314979464375,ACTIVE_1
3,BRT016f-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_1,-0.00020542838084775943,95.0,0.7391402909455144,0.01159843015041325,-0.0788358264243926,0.41348566100639356,PASSIVE_1
4,BRT016f-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_2,-0.0006622921910287192,95.0,0.7391402909455144,0.01159843015041325,-0.02912568384617113,0.11457755091794633,ACTIVE_2
5,BRT016f-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_3,-0.0002148144011987004,95.0,0.7391402909455144,0.01159843015041325,-0.07056607965255124,0.07321863008623726,ACTIVE_3
6,BRT016f-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_2,-7.211938432549532e-05,95.0,0.7391402909455144,0.01159843015041325,0.03568356513736281,-0.017826627065781274,PASSIVE_2
7,BRT016f-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_3,0.0004325655833545692,95.0,0.7391402909455144,0.01159843015041325,0.020104134717574166,-0.07639309115146255,PASSIVE_3
8,BRT016f-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_4,-0.0011097329582825618,95.0,0.7391402909455144,0.01159843015041325,0.012148663425950054,-0.06832475462794088,ACTIVE_4
9,bbl081d-a2,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,,75.0,0.31639305925116146,0.0153027205529327,0.08528820509427246,0.8889551691295379,baseline
