,cellid,modelname,state_sig,state_chan,MI,r,r_se,d,g,state_chan_alt
0,btn069b-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.8575694662845222,0.006549146186315113,0.289876438883558,1.0325861108031165,baseline
1,btn069b-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.00010890498373688072,0.8575694662845222,0.006549146186315113,0.014338135207744412,-0.041589941692256285,active
2,btn012c-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.425875264254399,0.01781304651718346,1.4079120502685263,1.0324028933403961,baseline
3,btn012c-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.00015041178168928771,0.425875264254399,0.01781304651718346,0.004302163118387371,-0.05218282312693523,active
4,btn014b-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.6420255250233465,0.015473585326039943,3.7270846672384854,1.0119940368391118,baseline
5,btn014b-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-5.619664791917014e-05,0.6420255250233465,0.015473585326039943,-0.016554646807932845,-0.01884597189492582,active
6,btn019c-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.9536523128152453,0.0039302195129323906,0.7109506928836111,0.9979982323007646,baseline
7,btn019c-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-3.04283162789298e-05,0.9536523128152453,0.0039302195129323906,-0.001505849351508425,0.003155086250831282,active
8,btn015d-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.8074388659375444,0.011149478554902318,0.19130600354556576,1.003523476041957,baseline
9,btn015d-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.000211129886395274,0.8074388659375444,0.011149478554902318,-0.0019548150090380706,-0.005510841218070923,active
10,btn015g-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.24876806118562594,0.03115836883004125,0.7801059335030036,0.9714642588299238,baseline
11,btn015g-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.0014778711347511284,0.24876806118562594,0.03115836883004125,0.017116775953466522,0.04440990983020669,active
12,btn114d-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.7709581272657128,0.012606637239090243,0.6369824828101349,1.0062077520926855,baseline
13,btn114d-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.0002298385778614518,0.7709581272657128,0.012606637239090243,-0.0004796721353761784,-0.009109870847537846,active
14,btn088b-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.6568733382683094,0.011956458518018402,1.2583636719908928,1.0117447797109869,baseline
15,btn088b-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,7.099202823787641e-05,0.6568733382683094,0.011956458518018402,-0.008511071155138036,-0.020471104908931028,active
16,btn105a-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.5511466604953331,0.026670214648974892,1.0011652533380886,0.9744823349128646,baseline
17,btn105a-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.00033573012279191613,0.5511466604953331,0.026670214648974892,0.0031734953440904863,0.03836847849899021,active
18,btn104e-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.9057009269114376,0.004693952925460288,0.19258619948411196,0.9951340043552349,baseline
19,btn104e-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.000725344761042829,0.9057009269114376,0.004693952925460288,-0.01086532969293671,0.007701259126570152,active
20,btn097a-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.6236475166209187,0.0193769319447744,0.658066969889788,1.007672382458963,baseline
21,btn097a-a1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.00023876061951029565,0.6236475166209187,0.0193769319447744,0.006497773714380898,-0.012089723392583011,active
22,btn095b-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,0.8414197423252204,0.008302151419614406,0.7297316456799909,1.0092001679404878,baseline
23,btn095b-b1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.00018508900540524785,0.8414197423252204,0.008302151419614406,0.008626891588433638,-0.013462954861756068,active
