,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,state_chan_alt
0,BRT039c-25-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,baseline,,95.0,0.6536871990312506,0.01993931848239094,0.021311617171215904,1.0415245609906867,baseline
1,BRT039c-25-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,pupil,0.011211846063138327,95.0,0.6536871990312506,0.01993931848239094,-0.019485156437270675,-0.08518025469875448,pupil
2,BRT039c-25-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,FILE_BRT039c07_p_PTD,0.0031083678203146134,95.0,0.6536871990312506,0.01993931848239094,0.07849542731519013,-0.17800625210936177,PASSIVE_1
3,BRT039c-25-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,FILE_BRT039c09_p_PTD,0.003374668949313358,95.0,0.6536871990312506,0.01993931848239094,0.12010897117180827,-0.32595936549739546,PASSIVE_2
4,BRT039c-03-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,baseline,,95.0,0.5618223678443648,0.025589730380720398,-0.009236390553638136,0.9080141114014838,baseline
5,BRT039c-03-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,pupil,-0.03437845010248519,95.0,0.5618223678443648,0.025589730380720398,-0.028299935522262946,0.013261821083157582,pupil
6,BRT039c-03-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,FILE_BRT039c07_p_PTD,-0.002654784958740756,95.0,0.5618223678443648,0.025589730380720398,-0.3500103011693077,1.2146373964655428,PASSIVE_1
7,BRT039c-03-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,FILE_BRT039c09_p_PTD,-0.0036773526528259223,95.0,0.5618223678443648,0.025589730380720398,0.17637104326133698,-0.19791955121121357,PASSIVE_2
8,BRT039c-45-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,baseline,,77.0083,0.7323370757393955,0.017042065318008816,0.02432365455146145,1.0128350727539446,baseline
9,BRT039c-45-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,pupil,0.011071861886566057,77.0083,0.7323370757393955,0.017042065318008816,-0.022756544969810746,0.07295856229554472,pupil
10,BRT039c-45-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,FILE_BRT039c07_p_PTD,-0.0012923374463999196,77.0083,0.7323370757393955,0.017042065318008816,0.14929254518294038,0.1444051235394846,PASSIVE_1
11,BRT039c-45-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,FILE_BRT039c09_p_PTD,-0.00016021901758072005,77.0083,0.7323370757393955,0.017042065318008816,0.16683937729218273,0.188332417333213,PASSIVE_2
12,BRT039c-40-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,baseline,,95.4293,0.47871553121152505,0.019940158063049843,0.04016778216971884,0.9746662084939548,baseline
13,BRT039c-40-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,pupil,0.015712657867967023,95.4293,0.47871553121152505,0.019940158063049843,-0.02840437850556455,0.039513185557540534,pupil
14,BRT039c-40-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,FILE_BRT039c07_p_PTD,-0.0019086974133014417,95.4293,0.47871553121152505,0.019940158063049843,0.27826049160184574,-0.2679251943539285,PASSIVE_1
15,BRT039c-40-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,FILE_BRT039c09_p_PTD,0.002096808372629654,95.4293,0.47871553121152505,0.019940158063049843,-0.23230811344375163,1.237969604625557,PASSIVE_2
16,BRT039c-24-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,baseline,,95.0,0.5767911638385519,0.022710155949158484,0.05425711221720182,0.7818507322455279,baseline
17,BRT039c-24-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,pupil,-0.00018737736269961808,95.0,0.5767911638385519,0.022710155949158484,-0.09882072354941399,-0.007142098559385195,pupil
18,BRT039c-24-1,psth.fs20.pup-ld-st.pup0.pas0-ref-pas-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.pas0,FILE_BRT039c07_p_PTD,0.0001963819712230659,95.0,0.5767911638385519,0.022710155949158484,1.656663503207568,0.9314208967757487,PASSIVE_1
