Animal,Parmfile,HR,Probe HR,FAR,Number of Probe Targets,Number of Targets,Number of References,Probe DI (%),DI (%),Probe RT (s),Difficulty,zprobeHR,zHR,zFAR,d prime,probe d prime,Criterion
Babybell,bbl031e03_a_PTD.m,0.97,0.93,0.46,7,34,123,0.83,0.78,0.27,Easy,1.475791028,1.880793608,-0.100433721,1.981227329,1.576224749,-0.890179944
Babybell,bbl031f03_a_PTD.m,0.98,0.94,0.38,8,46,128,0.84,0.82,0.3,Hard,1.554773595,2.053748911,-0.305480788,2.359229699,1.860254383,-0.874134061
Babybell,bbl031f04_a_PTD.m,0.99,0.94,0.32,9,44,74,0.89,0.88,0.24,Easy,1.554773595,2.326347874,-0.467698799,2.794046673,2.022472394,-0.929324537
Babybell,bbl031f07_a_PTD.m,0.67,0.67,0.21,12,67,91,0.69,0.71,0.31,Hard,0.439913166,0.439913166,-0.806421247,1.246334413,1.246334413,0.183254041
Babybell,bbl031f08_a_PTD.m,0.79,0.67,0.25,12,58,88,0.64,0.69,0.63,Easy,0.439913166,0.806421247,-0.67448975,1.480910997,1.114402916,-0.065965748
Babybell,bbl032f03_a_PTD.m,0.8,0.83,0.28,12,59,87,0.81,0.77,0.36,Easy,0.954165253,0.841621234,-0.582841507,1.424462741,1.53700676,-0.129389863
Babybell,bbl032f04_a_PTD.m,0.98,0.95,0.36,10,48,108,0.88,0.86,0.37,Hard,1.644853627,2.053748911,-0.358458793,2.412207704,2.00331242,-0.847645059
Babybell,bbl032f06_a_PTD.m,0.91,0.93,0.35,7,33,77,0.87,0.81,0.42,Hard,1.475791028,1.340755034,-0.385320466,1.7260755,1.861111495,-0.477717284
Babybell,bbl032g03_a_PTD.m,0.96,0.95,0.27,10,50,89,0.89,0.84,0.46,Easy,1.644853627,1.750686071,-0.612812991,2.363499062,2.257666618,-0.56893654
Babybell,bbl032g04_a_PTD.m,0.71,0.69,0.27,13,65,97,0.7,0.73,0.39,Hard,0.495850347,0.55338472,-0.612812991,1.166197711,1.108663338,0.029714136
Babybell,bbl033c03_a_PTD.m,0.84,0.91,0.31,11,55,103,0.88,0.81,0.27,Hard,1.340755034,0.994457883,-0.495850347,1.490308231,1.836605381,-0.249303768
Babybell,bbl033c04_a_PTD.m,0.86,0.95,0.3,10,50,91,0.88,0.78,0.44,Easy,1.644853627,1.080319341,-0.524400513,1.604719854,2.16925414,-0.277959414
Babybell,bbl034d03_a_PTD.m,0.79,0.6,0.35,5,24,72,0.53,0.58,0.54,Easy,0.253347103,0.806421247,-0.385320466,1.191741713,0.63866757,-0.21055039
Babybell,bbl034d04_a_PTD.m,0.59,0.5,0.29,8,39,78,0.58,0.64,0.29,Hard,0,0.227544977,-0.55338472,0.780929696,0.55338472,0.162919871
Babybell,bbl034e03_a_PTD.m,0.99,0.94,0.26,9,45,73,0.9,0.91,0.37,Easy,1.554773595,2.326347874,-0.643345405,2.969693279,2.198119,-0.841501234
Babybell,bbl034e04_a_PTD.m,0.96,0.95,0.31,10,48,83,0.89,0.85,0.28,Hard,1.644853627,1.750686071,-0.495850347,2.246536419,2.140703974,-0.627417862
Babybell,bbl034e07_a_PTD.m,0.87,0.95,0.31,10,54,85,0.91,0.77,0.31,Easy,1.644853627,1.126391129,-0.495850347,1.622241476,2.140703974,-0.315270391
Babybell,bbl035b04_a_PTD.m,0.98,0.94,0.36,9,46,97,0.92,0.88,0.16,Hard,1.554773595,2.053748911,-0.358458793,2.412207704,1.913232388,-0.847645059
Babybell,bbl035b05_a_PTD.m,0.94,0.9,0.35,10,48,111,0.83,0.82,0.25,Easy,1.281551566,1.554773595,-0.385320466,1.940094061,1.666872032,-0.584726564
Babybell,bbl035c03_a_PTD.m,0.86,0.88,0.27,8,42,71,0.86,0.79,0.27,Easy,1.174986792,1.080319341,-0.612812991,1.693132332,1.787799783,-0.233753175
Babybell,bbl036e03_a_PTD.m,0.63,0.83,0.28,6,30,40,0.76,0.74,0.45,Hard,0.954165253,0.331853346,-0.582841507,0.914694854,1.53700676,0.12549408
Babybell,bbl036e06_a_PTD.m,0.85,0.91,0.23,11,55,91,0.86,0.79,0.37,Easy,1.340755034,1.036433389,-0.738846849,1.775280239,2.079601883,-0.14879327
