,cellid,sw,ptr,fwhm,es,bs,trough,waveform,phototag,animal,labels,wshape
0,TNC018a-16-4,0.9848199999999999,0.10623022515913588,0.36736,0.15348817380533775,0.23534,5121.0,"(36.74924264952864, 29.39293185911933, 30.39242082350751, 39.38707390701665, 38.07624164969095, 33.74926105529612, 33.7854559133492, 41.50413715593324, 34.07460324912004, 38.01614061918272, 41.47802411424878, 40.82951750202986, 39.919874004543196, 51.57833687114643, 56.374139991633946, 47.09650855226724, 40.284659738174945, 45.56780348347329, 49.08514326743155, 55.715876954758585, 59.2191976807417, 52.51429478444246, 47.33035479321713, 39.32656245940604, 41.01210184675324, 43.6761574622884, 49.777915430258105, 51.64656470741809, 54.65129834165757, 44.531314776962226, 33.535819206517274, 38.75402497267184, 51.28515500984015, 61.10844332750551, 69.97313653539445, 81.05849541779983, 59.44379656580984, -5.451665926895041, -101.19857871043646, -193.3576073950237, -263.78939479133044, -308.24455924794927, -320.85369316146586, -306.847361721653, -283.38610193200594, -252.00042192141723, -215.32080054202444, -195.4276872341431, -179.9015021321905, -147.6926363848072, -124.61145266499187, -110.74828584776877, -91.46344383311687, -69.79720849307424, -47.12983672386641, -33.58156158443963, -7.602593502220128, 8.556878473185712, 10.536685387119949, 7.006677084831477, 19.126720916850733, 36.53670045212369, 38.11651420446403, 43.926074379746915, 47.645305652456976, 49.474143978702735, 53.05253545060908, 62.23043519579266, 61.95780632548557, 60.43461893524045, 70.92084916196103, 81.35647830035498, 84.55149198252407, 78.89587942616954, 81.41963275701944, 78.46274640862237, 71.76521659982838, 63.29704088848695, 59.1782177982455, 56.6187465135925, 63.70862663780756, 68.83785801016347)",s,Teonancatl,0,RS
1,TNC018a-58-2,0.3342866666666667,0.11501678320612911,0.22139999999999999,0.45734687460850404,0.16618666666666668,4987.0,"(29.430756585506252, 37.60699143472501, 38.62250939867955, 31.126994029101684, 37.43012093546599, 39.44155795191863, 28.93096533853203, 33.17799601687499, 41.16229583939597, 41.15350389204709, 37.581252831077414, 35.595169256081576, 39.15487412039472, 33.05998317832395, 29.83010746813732, 30.514853829455365, 30.443825453115416, 26.23662246153983, 23.192842518148527, 23.05208146434079, 21.753933982060715, 22.837994279954327, 24.96385680184642, 25.421116957220352, 19.20937187410291, 13.058221174568644, 20.56726777171683, 19.286118685835657, 10.694385878026287, 10.381687100534984, 10.447646762489583, 7.581896808645444, 0.8740776087633256, 5.523838855593307, 6.570840469383791, -0.08524649270283803, -17.77473892326997, -65.25794075055623, -162.23514203466783, -262.91661810179005, -309.35262876686164, -319.85341771330326, -307.49921209770434, -262.8302224261616, -183.35664271842518, -93.05865094561048, -16.296409699698792, 25.65993296799856, 44.14024261005049, 52.964397410315804, 71.85228722005154, 77.91381262979603, 69.39888409345885, 66.10742111513065, 55.559351503391554, 48.36461069195931, 34.593141121365335, 26.714891674087163, 25.509817154338517, 18.95787780377226, 18.369038845944598, 21.273270054565717, 20.81054534250086, 19.070842370227425, 19.374142173622705, 13.020428810986026, 14.029689028431836, 22.201911942135812, 18.96708873634482, 23.035212377634576, 29.376277347263418, 26.470279393933087, 23.367215309322933, 28.077082728187406, 19.639879953489896, 21.275605805943098, 23.374259496782642, 18.195840522456166, 8.400348580054562, 9.967783501767629, 13.82814520529274, 14.41143365700858)",a,Teonancatl,1,NS
2,TNC018a-03-2,0.2706,0.25443830470234585,0.15771333333333332,0.37895996569281704,0.9596733333333334,4959.0,"(4.352043613751792, 7.537511106574101, 10.224841002604652, 7.653535075552445, 4.233091938403769, 6.673007529705115, 12.23277560693656, 11.8318882467035, -2.2501636474767692, 2.066110170784844, 8.830199813500617, 7.18159578562165, 8.919789516490331, 13.144273897008631, 10.544543824462767, 11.130096756556732, 14.35043327578419, 13.265057664848158, 15.973478493793735, 17.035209219798908, 14.06976880069843, 8.046682322990753, 7.465481643988036, 6.995706046267721, 5.51690290188761, 6.588628344357323, 8.190447947293528, 2.6319374093681116, 1.1426832453245084, -7.047716517865743, -8.549651642038215, -5.283498979535599, -3.569621778865624, -3.668368995943169, -2.240074610635413, -11.185056947645057, -39.063618002006564, -105.49604277411345, -202.21259863035573, -320.77353472511646, -431.29908154531915, -449.8894506612006, -359.58483477239156, -211.6554081127987, -77.38132722122671, 24.787267980462456, 79.97025290344638, 108.63751691231127, 123.56896194061767, 128.86450116350363, 121.18405776334176, 111.86756380627263, 96.59495923518745, 86.56619097619296, 71.42121215015423, 56.37998137815819, 56.22246216871323, 55.92862237494346, 47.27843371251756, 40.40187133240725, 36.83891344414439, 34.44954098476235, 29.523737328283055, 18.36148803119378, 18.47278060952633, 9.997604342461534, 8.045950096955409, 2.8278101682593944, 3.2531781318271906, 3.2020487028146585, 7.764417600561552, 10.920281417150516, 16.9496374910277, 13.322483788205453, 6.638818793957702, 8.40864141654854, 8.391950902268919, 5.81874675990448, 12.759028693292034, 17.34279654181585, 15.100050230070142, 10.600789728982043)",s,Teonancatl,1,NS
3,TNC018a-04-2,0.31816,0.21656050914397013,0.16700666666666666,0.34400993807295777,0.8918866666666667,4937.0,"(-4.678576347735682, -15.921328713645657, -17.11588536425035, -13.57336677679653, -12.964898669500613, -9.591610969286563, -1.8246367927834461, 0.07488856161157173, 3.5058286140314334, 8.187046699809482, 15.03740696645578, 18.625775374877037, 17.431020709158584, 21.502015599123187, 24.767637558910245, 17.786770043820272, 18.578303526924568, 38.2911365960792, 40.55417707232047, 32.51634315318884, 31.10656458626918, 43.8037838762892, 45.00695752650532, 40.95505731555065, 41.14707161246111, 45.68200673202883, 42.97888833107065, 37.756762845755844, 32.69469896989595, 27.461789172650064, 13.667151252058522, 9.329929919041495, 15.529298405228996, 14.144460088322004, 6.4646501311801625, -0.170862866905061, -0.9127752087098083, -100.19174643253143, -380.3583976576842, -720.1333099972217, -934.7270231656294, -935.1600344842104, -766.1827985042862, -536.4457273974829, -311.15919213426304, -121.49352434950953, 4.180981278506197, 83.23406432578336, 149.36549576438992, 208.58507507737616, 228.24262743992836, 218.13800103361754, 201.56106453874082, 197.7317048273332, 185.24982486031172, 162.19534178181615, 147.46818520012823, 134.94829564219515, 127.40562316685724, 112.93012612225, 106.75177003493563, 101.63052662009873, 81.0663729032447, 66.14929044417521, 59.8992646528175, 51.42628418474225, 46.28034040444524, 49.19142690688986, 49.3595390908052, 53.504673780228856, 52.646828893550165, 46.8860031609396, 36.28219589076169, 26.775406783308544, 25.965635787045702, 22.38288299059936, 18.487148544139906, 16.278432605540527, 11.606735307887227, 5.152056745129305, -7.105603027826601, -13.27624398553908)",s,Teonancatl,1,NS
4,TNC018a-05-3,0.6486200000000001,0.15080150880762452,0.3545133333333333,0.16626529659565203,0.6743133333333333,5092.0,"(49.955433598878955, 46.29027419058713, 48.165426186422685, 50.579525557672056, 54.03119004819521, 58.30902010339644, 55.581599848456044, 52.13749811818432, 55.30526953993116, 58.24345566959563, 57.34058618048945, 57.27518010562771, 53.24574713442326, 56.37078896407769, 56.18880070512992, 66.16827234073658, 65.64769024054674, 61.63553873159942, 62.300301728954366, 64.98046442737491, 59.22451505394347, 56.19094668104563, 54.87825909871951, 57.854960744485176, 53.43957068860381, 51.400620673450454, 49.37665720603055, 44.036243702096534, 37.957962679477, 35.410417997405546, 29.202237137845326, 22.952073524335912, 18.308608873682743, 14.670555575537222, 4.146659094735295, -1.8942996088681574, -23.033501649101385, -120.30208777994045, -288.8111559803916, -439.2417591058953, -500.55490269343267, -515.0115430345663, -520.99258562393, -499.34888405563555, -454.12123940057893, -397.95040006769386, -344.48706213015254, -297.18187008060374, -247.87541796944376, -199.70825087715264, -157.6408666725867, -110.57371801071588, -68.05721452477856, -32.811725169217986, 3.892419328630244, 43.694923947860126, 74.09552682170326, 97.14399668920304, 112.22013038406897, 125.41375038941494, 132.76470248100352, 141.48285347583027, 138.91808909835373, 133.7803119729173, 126.4494397469053, 127.38540334488408, 127.32814535093245, 124.71761851586656, 118.18378438713968, 110.94661205958465, 110.13607704404058, 101.64216024948477, 93.71484707371917, 85.23412659735159, 79.96999087495118, 72.48243431640272, 68.4414531514203, 71.91704497088513, 72.86920834010196, 63.157942481193686, 62.73324702334492, 60.49512181922754)",s,Teonancatl,0,RS
5,TNC018a-05-4,0.6117199999999999,0.16483551459704007,0.287,0.2023970404562353,0.5545933333333333,5072.0,"(59.83768501169458, 70.03321717976945, 68.85241613141329, 65.35307967344427, 74.3829802847826, 81.13986669730699, 85.02146554445457, 88.10548308145648, 93.75960698218042, 87.68150821714454, 75.23884301579174, 86.27925491354142, 92.64037688169157, 84.74983353855905, 76.30524344250571, 82.55422146759008, 80.1043812603396, 73.4433377751528, 67.91870988645461, 69.70812307542374, 68.60921218807394, 65.82962426166237, 64.09702141755557, 68.25908381930739, 69.73351269495095, 65.93803342329943, 63.460398684801376, 57.648391676968124, 62.80982939290892, 65.78256596076807, 61.00449604279945, 49.933558294111464, 40.94773888036721, 45.75507505081919, 43.42365876099095, 39.941640340244696, 15.187232201371872, -115.29128741336491, -420.6055706729473, -756.1571964554279, -933.1676668497634, -984.2884040775025, -989.1507480607455, -917.985954805607, -787.3451956840279, -655.8795576181101, -535.6100441108534, -430.1475770271101, -339.6729990114682, -254.75707643121328, -179.04050274254783, -107.61390218922928, -49.17783375200412, 6.567204725021266, 65.27077229770808, 116.16248063530983, 165.42198974006484, 202.29900372598067, 221.89326670597268, 245.67455883020347, 253.7726925099697, 247.39750885253875, 247.62887432382425, 242.12667764751586, 240.41082694254072, 237.0812470971349, 226.90787737662646, 206.4006692611249, 196.05958450693777, 184.84459342194475, 173.90567334263858, 158.14280730038143, 151.24598286518304, 145.99519115568802, 125.92042600467096, 102.04168326990661, 88.09896027880677, 69.59225539182809, 55.27156766734505, 45.71689661091581, 44.098241993667315, 33.26560372724271)",s,Teonancatl,0,RS
6,TNC018a-07-4,0.7287066666666666,0.18050012844728425,0.29438000000000003,0.18839864759532632,0.4551,4854.0,"(42.47691747456691, 37.472038491234585, 36.379302230091824, 37.76727830147471, 45.78452405982309, 53.6195857479705, 59.4009996810545, 58.79729347487474, 50.86698732409968, 47.55859533366915, 54.3606269033575, 48.03158816338922, 39.39998345919, 38.40431688362817, 28.043093853768088, 24.774822727470088, 21.388016454442198, 21.721194256493717, 30.43288333285062, 37.60162058879716, 36.905954389129676, 38.91444634034533, 32.505673105591804, 26.11822825435409, 32.83072414618307, 30.331793846164913, 16.060093070010566, 10.714302156865047, 10.573128066224202, 9.405306393380233, 5.77960339825527, 3.1148180444208635, 0.14978404612169258, -10.7866280791751, -24.875508956297214, -71.7479083022277, -197.2948328938495, -357.9772445848835, -479.49605843493663, -543.1921410485354, -557.416309238538, -528.2393291139064, -466.8219156544037, -396.2047327910506, -331.9283939731677, -271.3234631765779, -209.9004562945997, -155.74984285060305, -116.732047972809, -76.94745457603005, -31.466405700727396, 0.030793034543353314, 25.073870907327755, 55.17258952889399, 82.31674027794087, 103.64614175927468, 125.83063731404697, 134.78009260617233, 142.21439330646803, 144.9934428916215, 149.37716057000026, 150.84547934192267, 153.50834419920017, 150.4157104672262, 143.21754229161616, 136.9138112695259, 136.71449522332466, 128.24957711245577, 115.09904407872337, 100.34288661951464, 91.00109788125283, 79.09367306276137, 70.85060891706797, 69.78190334075883, 58.177555041538845, 47.297563276321036, 36.981927652700605, 32.71064798571333, 18.28372420084568, 4.741156274212375, 2.1129442006240917, -1.130912020187119)",s,Teonancatl,0,RS
7,TNC018a-07-5,0.75112,0.15185101889895314,0.36872666666666665,0.14205388103709993,0.42885999999999996,4899.0,"(37.75802974267647, 41.15955439493407, 46.15255465281912, 41.9759009239673, 40.09845033856314, 50.849047566515125, 52.79652567634978, 51.08970703739413, 43.547404267924406, 48.34842123106584, 47.741554078033644, 41.54559233733502, 46.45932004892925, 49.74151694263491, 40.52095966037009, 42.06642302225486, 46.9066813362358, 39.560509750225926, 36.28668564589405, 34.00399007314071, 39.13120922327638, 33.267135938581916, 34.700571256885304, 33.480325990565355, 32.79522233932265, 42.31409553606127, 47.96579552617468, 34.79918868225338, 33.70315955690328, 28.57661267429487, 21.518474357792652, 24.437694589271132, 19.78324889582931, 1.2241402602894176, -17.84059894872261, -73.14190503530276, -176.53068104071065, -274.09779484727295, -341.7540773775368, -385.20032096296154, -406.4372779595483, -397.80565967447205, -377.7561356460856, -350.7093332968845, -315.8958379590724, -276.1261932574947, -236.8809018248012, -183.64042631703956, -139.18519069281447, -93.16558171500856, -57.171950631386444, -32.9746149906011, -4.453860553629316, 24.080056733819507, 36.596908737319616, 55.586493123980496, 74.86863136948826, 86.13316680125503, 96.49996269472777, 98.40890043799213, 91.0298777767047, 98.32280714690634, 111.08761409911963, 111.21423581584467, 105.09261972610555, 107.16272222140007, 99.62450747520869, 96.9579463652587, 90.30301549594807, 89.58969631736987, 85.17797433689802, 76.80783841940071, 68.6292801721416, 68.14229340960802, 63.89687369264177, 50.13301793641829, 40.67072408212247, 38.75999082608772, 40.74081739886087, 39.42320338758415, 33.27714859791702, 30.392652953707767)",s,Teonancatl,0,RS
8,TNC018a-09-2,0.65518,0.15985795113187348,0.31597333333333333,0.16720226891717505,0.5329999999999999,4973.0,"(35.384924447261895, 36.80901449322123, 34.382392344950816, 42.78371244268649, 41.381613801278654, 41.05472100867314, 48.39164526261313, 52.87098544749102, 54.99132925374839, 54.52125434314862, 55.75932956332572, 63.894116214043045, 58.12416936693659, 48.71803924044079, 49.1642726304687, 45.53141439491499, 37.92800898826502, 43.432602042503625, 48.99374199126342, 42.02998173564411, 42.569880351957345, 46.74200484210987, 48.904931926698566, 43.36724988104633, 47.71756041506368, 55.99448059773909, 51.67664482712774, 50.14270684760911, 55.33134181638142, 58.871248420245536, 56.45115104350781, 46.94980198838779, 41.64598374847949, 27.658511332951072, -10.293765364548902, -86.88195916390654, -179.6671431866286, -270.0003484761722, -354.95256171377537, -458.8347231081638, -560.7977245447295, -583.0924080825499, -540.6595648835206, -479.42993463696905, -426.53420550419537, -364.42301456646476, -300.6869487335379, -238.52654605886082, -183.36229740386094, -129.31464839269694, -76.54400159991157, -31.530718916091264, 7.084875960244892, 44.31249495267546, 77.41188300251206, 92.97281546897824, 117.59509556791446, 134.66855187749354, 144.8330359342662, 143.5884199387386, 146.89459458529117, 147.7614670258307, 143.23895897175606, 136.89700493581745, 137.95555061333934, 126.9845514004245, 117.29397104544336, 117.04378042895252, 111.55395646605386, 96.764481125034, 92.86534055642129, 91.99652432601683, 87.44802474502137, 72.75983629142793, 66.82195511768307, 68.60437863866153, 53.40710519296882, 39.850133770882465, 37.30346380204672, 40.21709499475855, 24.621027218868104, 16.59526042625887)",s,Teonancatl,0,RS
9,TNC018a-09-3,0.73964,0.13812958945436357,0.28590666666666664,0.17696830291098353,0.47068,4949.0,"(43.00128489408679, 43.95090721731309, 44.68533317981045, 42.85350629274853, 35.7543560002126, 38.90679841804165, 38.769737112382174, 35.6620639161429, 50.22265978245153, 57.87039567584181, 49.46413350422988, 46.17272709630808, 51.235023227537766, 51.499862694924914, 46.12608143968613, 50.802511717586725, 50.447983316954286, 42.75132482412509, 40.32136493580727, 41.29693381688838, 48.87686450128879, 53.33999433440443, 60.47516645840311, 53.111231344077254, 49.02704837323758, 53.23148747353187, 50.843430805022344, 46.41177449701101, 38.965430433848525, 43.763328087879756, 52.724416396861926, 42.98766568420892, 33.71206962239297, 31.696647239478697, -10.609555034704776, -108.88746129260295, -206.11796406648736, -271.9019222855848, -328.53015934088506, -401.47346133388896, -473.36257558090847, -481.3682094380646, -408.81102950490464, -325.3816612447956, -259.70068902326705, -208.918656526384, -170.66606749955685, -131.88338674633388, -105.1510413359706, -90.12942197827209, -73.03888453222424, -55.0597516222249, -38.0223143415702, -18.546834025798404, 6.736455921100599, 19.457348165412228, 41.14565956610655, 47.45122929964505, 61.83391700439458, 80.23360095960307, 92.28017631233159, 106.58355336568282, 116.58365594215076, 119.43041983541946, 113.27379136192191, 112.57372601982674, 115.28018725862374, 109.12314535921014, 98.84257642318684, 92.49846146909596, 85.87078563121682, 75.28953745448621, 67.27470827823684, 62.596291701132614, 52.43428311951909, 53.418679331743924, 50.69947820193866, 45.93667837817566, 34.59027906124944, 37.500279820448, 38.40668045192268, 31.169480875571775)",s,Teonancatl,0,RS
