,A1_cellid,A1_snr,PEG_cellid,PEG_snr
0,ARM032a-18-3,0.0058704034215730115,ARM027a-22-4,0.006160043885433748
1,ARM029a-54-2,0.006461359642589962,ARM019a-01-6,0.006390450030800908
2,ARM029a-54-2,0.006461359642589962,ARM019a-55-7,0.006391281333846078
3,TNC016a-52-2,0.007591755764270384,ARM019a-43-2,0.007672328213263886
4,TNC016a-52-2,0.007591755764270384,ARM023a-39-3,0.007673480576441103
5,TNC017a-16-1,0.007824552003151073,ARM018a-39-1,0.00807284414740555
6,DRX006b-123-6,0.009088692337199077,ARM018a-04-3,0.009205387089607877
7,ARM029a-40-2,0.010350630693122954,ARM024a-60-2,0.009900232835174357
8,ARM029a-40-2,0.010350630693122954,ARM022b-12-4,0.010294612794612794
9,ARM029a-40-2,0.010350630693122954,ARM019a-49-2,0.010352269562795878
10,ARM029a-40-2,0.010350630693122954,ARM028b-62-1,0.010588518856062715
11,DRX008b-02-1,0.011412280223094021,ARM021b-26-4,0.011002591892684772
12,DRX008b-02-1,0.011412280223094021,ARM019a-07-5,0.011074614144789585
13,DRX008b-02-1,0.011412280223094021,ARM026b-09-1,0.011265621375795306
14,TNC017a-57-1,0.0127423204908585,ARM019a-46-2,0.012850827465489118
15,DRX008b-126-1,0.013160708822258529,ARM019a-53-1,0.013125975172758798
16,DRX008b-85-1,0.013797872685847831,ARM028b-63-1,0.013994678996613977
17,TNC017a-09-1,0.014789817427923109,ARM026b-13-1,0.014618952244265529
18,TNC017a-09-1,0.014789817427923109,ARM019a-42-3,0.014703717943849524
19,TNC017a-09-1,0.014789817427923109,ARM019a-48-5,0.014860659699840982
20,TNC017a-55-1,0.014978258879993218,ARM019a-48-3,0.015106057605228328
21,DRX008b-83-4,0.015332086166221025,ARM026b-12-2,0.015432699395547691
22,TNC017a-39-1,0.016116941727321844,ARM026b-33-2,0.016083727838113803
23,DRX007a-112-3,0.017243232031993794,ARM024a-62-1,0.017302826654069344
24,ARM032a-30-2,0.018300248091921847,ARM027a-61-6,0.01833299661094308
25,ARM029a-48-2,0.01847086450414624,ARM019a-13-3,0.01854033397777627
26,TNC015a-28-2,0.01922451676511749,ARM019a-03-4,0.01906829970293553
27,ARM029a-40-3,0.01928545302573971,ARM027a-09-5,0.019414856585909215
28,ARM029a-40-3,0.01928545302573971,ARM019a-12-3,0.019422409282215045
29,ARM032a-22-7,0.020106108969238014,ARM021b-48-3,0.02015038090642929
30,DRX006b-30-2,0.0202944501204345,ARM021b-43-7,0.0202592513306799
31,DRX006b-30-2,0.0202944501204345,ARM019a-11-3,0.020459049962698143
32,DRX006b-30-2,0.0202944501204345,ARM021b-54-6,0.02046067424549688
33,ARM031a-45-5,0.020633881493802943,ARM024a-60-1,0.020533937783572282
34,ARM031a-45-5,0.020633881493802943,ARM025a-35-1,0.020661453015254183
35,TNC018a-16-2,0.021234938748163904,ARM019a-52-2,0.021263937964595938
36,TNC017a-13-2,0.02154983313303881,ARM019a-14-1,0.021546781989478875
37,TNC018a-42-1,0.02175921818039475,ARM027a-17-1,0.02177145449058241
38,TNC018a-42-1,0.02175921818039475,ARM019a-13-2,0.02187403010136928
39,ARM031a-43-2,0.02222313367483035,ARM021b-49-8,0.022203651229709017
40,ARM031a-42-4,0.023014822944633927,ARM017a-20-1,0.022999202341383983
41,ARM031a-42-4,0.023014822944633927,ARM017a-14-2,0.023015705403338683
42,ARM030a-16-3,0.02346562408417105,ARM028b-28-1,0.02351628796804235
43,ARM029a-22-1,0.023608722385090392,ARM026b-43-2,0.02353919354607349
44,TNC020a-14-1,0.02501073867722316,ARM018a-22-2,0.025092740072267528
45,TNC020a-14-1,0.02501073867722316,ARM026b-29-7,0.025157410140238347
46,TNC017a-19-1,0.02634615628561307,ARM022b-12-3,0.026130362118117964
47,TNC017a-19-1,0.02634615628561307,ARM025a-11-1,0.02613478430477869
48,TNC017a-19-1,0.02634615628561307,ARM018a-04-1,0.026147695752851408
49,DRX007a-110-3,0.026560127058742014,ARM019a-46-1,0.026561463331027612
50,TNC017a-39-2,0.02667711382449544,ARM019a-05-3,0.026750615786008083
51,TNC017a-39-2,0.02667711382449544,ARM017a-29-2,0.026777386608645024
52,ARM029a-28-3,0.027657254567233763,ARM021b-39-9,0.02772075196186461
53,DRX007a-83-1,0.028351600390748837,ARM019a-03-3,0.028349958744706576
54,ARM031a-45-3,0.028525149676616943,ARM028b-04-1,0.0285451613617014
55,TNC016a-46-1,0.028709727629891626,ARM019a-23-3,0.028960558873869294
56,DRX007a-100-5,0.029256695697409293,ARM021b-22-4,0.02915867681417149
57,DRX008b-123-7,0.029318543295038326,ARM021b-08-4,0.029419779327006287
58,TNC017a-19-3,0.029730624162624307,ARM023a-04-1,0.029658982180912
59,ARM032a-12-1,0.03053872468249412,ARM017a-28-2,0.030414301526487626
60,TNC018a-20-1,0.03150750106600718,ARM024a-25-1,0.0315297105905981
61,ARM030a-07-2,0.031558084736354686,ARM026b-22-2,0.0315677328061229
62,TNC017a-31-2,0.031673229617700346,ARM026b-47-1,0.031798159987014483
63,TNC016a-28-1,0.03198679168771964,ARM027a-09-7,0.03202492821532907
64,TNC016a-28-1,0.03198679168771964,ARM017a-25-4,0.03207837964658078
