cellid,area
bbl071d-a1,ICC
bbl071d-a2,ICC
bbl071d-a3,ICC
bbl074g-a1,ICC
bbl078k-a1,ICC
bbl081d-a1,ICC
bbl081d-a2,ICC
BRT005c-a1,ICX
BRT006d-a1,ICX
BRT006d-a2,ICX
BRT007c-a1,ICX
BRT007c-a3,ICX
BRT009a-a1,ICX
BRT009c-a1,ICX
BRT009d-a1,ICX
BRT015b-a1,ICC
BRT015c-a1,ICC
BRT016f-a1,ICC
BRT017g-a1,ICC
BRT017g-a3,ICC
ley011c-a1,ICX
ley026g-a1,ICC
ley027f-a1,ICX
ley027g-a1,ICC
ley027g-a2,ICC
ley034g-a1,ICC
ley035c-a1,ICX
ley040j-a1,ICX
ley040k-a1,ICX
ley041l-a1,ICX
ley042i-a1,ICX
ley046f-01-1,ICX
ley046f-03-1,ICX
ley046f-06-1,ICX
ley046f-08-1,ICX
ley046f-12-1,ICX
ley046f-13-1,ICX
ley046f-21-1,ICX
ley046f-22-1,ICX
ley046f-27-1,ICX
ley046f-28-1,ICX
ley046f-30-1,ICX
ley046f-32-1,ICX
ley046f-38-1,ICX
ley046f-41-1,ICX
ley046f-44-1,ICX
ley046f-55-1,ICX
ley046f-60-1,ICX
ley046f-62-1,ICX
ley046g-04-1,ICX
ley046g-11-1,ICX
ley046g-12-1,ICX
ley046g-23-1,ICX
ley046g-30-1,ICX
ley046g-31-1,ICX
ley046g-31-2,ICX
ley046g-36-1,ICX
ley046g-37-1,ICX
ley046g-39-1,ICX
ley046g-39-2,ICX
ley046g-47-1,ICX
ley046g-53-1,ICX
ley046g-57-1,ICX
ley046g-59-1,ICX
ley049h-a1,ICC
ley049h-a2,ICC
