,Unnamed: 0,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,R2,area,sign,experimenter,onBF,SU,animal,task,R2_diff,MIbeh_only,sig_state,sig_any,sig_ubeh,sig_upup,sig_obeh
531,531.0,AMT018a-01-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,-0.35121518730246504,95.0,0.3669358526137895,0.05009311064324703,-0.08949898926363209,-0.8181765516102949,0.0,active,0.13464191993340868,A1,TBD,DS,TBD,True,AMT,TIN,0.010348595906664038,-0.36197199948317216,False,True,False,False,False
165,165.0,AMT018a-01-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.01075681218070712,95.0,0.3525525833499801,0.0426299246885252,0.03859122553823824,0.4843094147732634,0.0,active,0.12429332402674464,A1,TBD,DS,TBD,True,AMT,TIN,0.010348595906664038,-0.36197199948317216,False,True,False,False,False
530,530.0,AMT018a-01-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,95.0,0.3669358526137895,0.05009311064324703,0.1548658082925372,1.285511657607835,0.0,baseline,0.13464191993340868,A1,TBD,DS,TBD,True,AMT,TIN,0.010348595906664038,-0.36197199948317216,False,True,False,False,False
164,164.0,AMT018a-01-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,95.0,0.3525525833499801,0.0426299246885252,0.09377444084716267,0.6245404028216747,0.0,baseline,0.12429332402674464,A1,TBD,DS,TBD,True,AMT,TIN,0.010348595906664038,-0.36197199948317216,False,True,False,False,False
535,535.0,AMT018a-03-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,0.028806368249880636,95.0,0.6205980864008179,0.011221581297649195,0.0012535891080003175,-0.08252074145433062,0.0,active,0.3851419848443571,A1,TBD,DS,TBD,True,AMT,TIN,-0.0019149395438239347,0.028862617481261635,False,True,False,False,False
173,173.0,AMT018a-03-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-5.624923138099884e-05,95.0,0.6221389912135238,0.01100200559020172,-0.016381882613663558,-0.03190696977991452,0.0,active,0.387056924388181,A1,TBD,DS,TBD,True,AMT,TIN,-0.0019149395438239347,0.028862617481261635,False,True,False,False,False
534,534.0,AMT018a-03-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,95.0,0.6205980864008179,0.011221581297649195,0.6722072926626612,1.0278390257083614,0.0,baseline,0.3851419848443571,A1,TBD,DS,TBD,True,AMT,TIN,-0.0019149395438239347,0.028862617481261635,False,True,False,False,False
172,172.0,AMT018a-03-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,95.0,0.6221389912135238,0.01100200559020172,0.6849153983859563,1.0238649838151543,0.0,baseline,0.387056924388181,A1,TBD,DS,TBD,True,AMT,TIN,-0.0019149395438239347,0.028862617481261635,False,True,False,False,False
523,523.0,AMT018a-06-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,0.14900335218722466,99.3709,0.8799429576277161,0.008922176398287606,0.07946916435600647,0.20024921286404584,0.0,active,0.7742996086786126,A1,TBD,DS,TBD,True,AMT,TIN,0.015558521204095066,0.14941871714132748,False,True,False,False,False
169,169.0,AMT018a-06-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.00041536495410283736,99.3709,0.8710574536013784,0.00870159713608868,0.0013956209411797285,-0.002955548800656938,0.0,active,0.7587410874745175,A1,TBD,DS,TBD,True,AMT,TIN,0.015558521204095066,0.14941871714132748,False,True,False,False,False
522,522.0,AMT018a-06-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,99.3709,0.8799429576277161,0.008922176398287606,-0.01819215492807651,0.9316221027531018,0.0,baseline,0.7742996086786126,A1,TBD,DS,TBD,True,AMT,TIN,0.015558521204095066,0.14941871714132748,False,True,False,False,False
168,168.0,AMT018a-06-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,99.3709,0.8710574536013784,0.00870159713608868,0.007197734462868768,1.0022021828133023,0.0,baseline,0.7587410874745175,A1,TBD,DS,TBD,True,AMT,TIN,0.015558521204095066,0.14941871714132748,False,True,False,False,False
527,527.0,AMT018a-06-2,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,0.2025356915710703,96.1306,0.6772165035301881,0.017826741624081873,0.23363804048328066,0.2585972311623547,0.0,active,0.45862219265365334,A1,TBD,DS,TBD,True,AMT,TIN,0.038325074969252027,0.21055757385828455,False,True,False,False,False
157,157.0,AMT018a-06-2,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,-0.008021882287214262,96.1306,0.6483032605844284,0.01580943986054027,0.0043841795782250965,-0.0019996351020340267,0.0,active,0.4202971176844013,A1,TBD,DS,TBD,True,AMT,TIN,0.038325074969252027,0.21055757385828455,False,True,False,False,False
526,526.0,AMT018a-06-2,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,baseline,,96.1306,0.6772165035301881,0.017826741624081873,0.46065153684483,0.91626900516722,0.0,baseline,0.45862219265365334,A1,TBD,DS,TBD,True,AMT,TIN,0.038325074969252027,0.21055757385828455,False,True,False,False,False
156,156.0,AMT018a-06-2,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,baseline,,96.1306,0.6483032605844284,0.01580943986054027,0.5357868654058846,1.0015727865197133,0.0,baseline,0.4202971176844013,A1,TBD,DS,TBD,True,AMT,TIN,0.038325074969252027,0.21055757385828455,False,True,False,False,False
763,763.0,AMT018a-07-1,psth.fs20-ld-st.beh-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh,active,0.11557304062890394,97.4031,0.2700180273246549,0.04518112774002343,-0.008542240848935585,0.6481936472207662,0.0,active,0.07290973508029809,A1,TBD,DS,TBD,True,AMT,TIN,-0.0101313695187,0.10695814109789525,False,True,False,False,False
155,155.0,AMT018a-07-1,psth.fs20-ld-st.beh0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.beh0,active,0.008614899531008684,97.4031,0.2881685350606448,0.05140416211198948,-0.0008971695941772877,-0.04995532675590265,0.0,active,0.08304110459899809,A1,TBD,DS,TBD,True,AMT,TIN,-0.0101313695187,0.10695814109789525,False,True,False,False,False
