cellid,BF,SNR
btn003b-b1,555.0,1.298269627572013
btn003c-b1,685.0,0.7644375151033238
btn006a-b1,9801.0,4.075775821991704
btn008b-a1,397.0,4.6607557662423496
btn009a-b1,1242.0,3.6282598908904387
btn009b-b1,13812.0,4.06673403805877
btn011a-b1,639.0,2.468862684130131
btn011c-b1,441.0,4.067507377223472
btn012c-a1,10810.0,8.864744691234524
btn012c-b1,23352.0,2.32667890159951
btn013c-b1,1296.0,4.199105124728861
btn014b-a1,9398.0,5.760689885493626
btn015b-b1,695.0,2.5001091216902878
btn015d-b1,18277.0,2.768667009542079
btn015g-a1,1234.0,3.969343004563127
btn016b-b1,9801.0,3.7649250808096735
btn016e-b1,5367.0,5.737330118775614
btn018c-a1,23352.0,9.72736453311273
btn018d-a1,18277.0,6.470686398057818
btn019a-a1,21024.0,1.635565300383417
btn019c-a1,18277.0,20.927963195623928
btn029a-b1,250.0,0.7565942022810122
btn030a-b1,473.0,1.2452568756032036
btn037a-b1,473.0,0.9755345494143186
btn040c-b1,13909.0,2.3417949440924586
btn044d-b1,6622.0,4.4577758521334605
btn054b-a1,457.0,4.572999871571056
btn059b-a1,7355.0,0.7849311843062583
btn060a-a1,14918.0,5.564405125059105
btn062a-a1,5183.0,5.811072999762386
btn062c-a1,23352.0,3.2567463236351086
btn069b-a1,9075.0,2.641897166902504
btn070a-b1,6669.0,1.067839181330751
btn071c-a1,2760.0,2.1854611101968624
btn072d-a1,1119.0,3.234928511948146
btn073a-a1,473.0,1.0585744273622444
btn073b-b1,5219.0,3.9645344271367575
btn073c-a1,5405.0,3.1571430243146352
btn074e-b1,8762.0,6.661248478782761
btn075a-b1,1217.0,0.58807092247668
btn075c-b1,9075.0,4.377076439258171
btn077a-a1,972.0,2.712030855285202
btn079d-b1,6858.0,4.211094815866992
btn079e-b1,12878.0,1.3794893620325173
btn086c-a1,6858.0,1.2352308851972587
btn088b-a1,13337.0,0.7468919260047873
btn095b-b1,8170.0,1.446750628816686
btn097a-a1,13812.0,0.2897826513528441
btn104e-a1,12007.0,3.5077829652895085
btn105a-a1,1134.0,1.181033996298153
btn105c-a1,17041.0,4.582541876816795
btn109b-b1,4832.0,0.18182947698709317
btn109c-a1,17041.0,1.6372998962030394
btn111b-b1,9398.0,11.16816765481874
btn112d-b1,17648.0,1.147868959007309
btn112e-b1,14814.0,1.4483559553275254
btn114b-b1,486.0,0.9280030763439653
btn114d-b1,17648.0,11.843371848674085
btn116a-b1,441.0,3.1230632211684153
btn117f-a1,7355.0,5.403011610381568
btn118a-b1,441.0,7.690477034587516
btn119a-b1,507.0,1.6270660056392323
btn119b-b1,17041.0,18.425429445142115
btn120a-b1,1095.0,9.312389744815308
btn120b-b1,8461.0,10.209249480315693
btn123a-a1,7407.0,12.183029949692814
btn123b-a1,473.0,1.7559092815748398
btn131a-a1,10810.0,8.283951998281434
btn134a-a1,12007.0,15.774848582143221
btn139c-a1,10810.0,7.2384873761234445
btn142b-a1,16454.0,21.390017848305863
btn143b-a1,17648.0,16.874903986307533
mgc001c-a1,1208.0,13.96770277635726
mgc008b-b1,626.0,6.4110087243517375
mgc013a-a1,1175.0,1.2768796918298873
mgc015a-a1,621.0,0.8511815042560595
mgc015b-a1,563.0,1.5726872599069264
mgc016d-b1,12878.0,4.2206692445595415
mgc016e-b1,1014.0,2.5511421950199846
mgc028b-b1,12435.0,7.228349374306582
mgc031d-b1,24184.0,6.726196346597675
mgc037b-a1,7202.0,1.4390554475531507
mgc038a-b1,9138.0,1.6865847660870856
mgc049e-b1,17041.0,4.840798154428305
mgc050b-b1,23352.0,5.710630880653481
mgc052e-b1,426.0,3.779326273395058
mgc055a-a1,383.0,1.459386227165513
