,cellid,tar_freq,state_chan_alt
0,bbl102d-01-1,1000.0,ACTIVE_1
0,bbl102d-01-1,1000.0,ACTIVE_2
0,bbl102d-13-1,1000.0,ACTIVE_1
0,bbl102d-13-1,1000.0,ACTIVE_2
0,bbl102d-24-1,1000.0,ACTIVE_1
0,bbl102d-24-1,1000.0,ACTIVE_2
0,bbl102d-27-1,1000.0,ACTIVE_1
0,bbl102d-27-1,1000.0,ACTIVE_2
0,bbl102d-29-1,1000.0,ACTIVE_1
0,bbl102d-29-1,1000.0,ACTIVE_2
0,bbl102d-31-1,1000.0,ACTIVE_1
0,bbl102d-31-1,1000.0,ACTIVE_2
0,bbl102d-32-1,1000.0,ACTIVE_1
0,bbl102d-32-1,1000.0,ACTIVE_2
0,bbl102d-33-1,1000.0,ACTIVE_1
0,bbl102d-33-1,1000.0,ACTIVE_2
0,bbl102d-36-1,1000.0,ACTIVE_1
0,bbl102d-36-1,1000.0,ACTIVE_2
0,bbl102d-40-1,1000.0,ACTIVE_1
0,bbl102d-40-1,1000.0,ACTIVE_2
0,bbl102d-52-1,1000.0,ACTIVE_1
0,bbl102d-52-1,1000.0,ACTIVE_2
0,bbl102d-52-2,1000.0,ACTIVE_1
0,bbl102d-52-2,1000.0,ACTIVE_2
0,bbl102d-60-1,1000.0,ACTIVE_1
0,bbl102d-60-1,1000.0,ACTIVE_2
0,BRT026c-02-1,14000.0,ACTIVE_1
0,BRT026c-02-1,14000.0,ACTIVE_2
0,BRT026c-02-1,14000.0,ACTIVE_3
0,BRT026c-02-2,14000.0,ACTIVE_0
0,BRT026c-02-2,14000.0,ACTIVE_1
0,BRT026c-02-2,14000.0,ACTIVE_2
0,BRT026c-05-1,14000.0,ACTIVE_0
0,BRT026c-05-1,14000.0,ACTIVE_1
0,BRT026c-05-1,14000.0,ACTIVE_2
0,BRT026c-05-2,14000.0,ACTIVE_1
0,BRT026c-05-2,14000.0,ACTIVE_2
0,BRT026c-05-2,14000.0,ACTIVE_3
0,BRT026c-07-1,14000.0,ACTIVE_1
0,BRT026c-07-1,14000.0,ACTIVE_2
0,BRT026c-07-1,14000.0,ACTIVE_3
0,BRT026c-08-1,14000.0,ACTIVE_0
0,BRT026c-08-1,14000.0,ACTIVE_1
0,BRT026c-08-1,14000.0,ACTIVE_2
0,BRT026c-11-1,14000.0,ACTIVE_0
0,BRT026c-11-1,14000.0,ACTIVE_1
0,BRT026c-11-1,14000.0,ACTIVE_2
0,BRT026c-11-2,14000.0,ACTIVE_1
0,BRT026c-11-2,14000.0,ACTIVE_2
0,BRT026c-11-2,14000.0,ACTIVE_3
0,BRT026c-12-1,14000.0,ACTIVE_0
0,BRT026c-12-1,14000.0,ACTIVE_1
0,BRT026c-12-1,14000.0,ACTIVE_2
0,BRT026c-15-1,14000.0,ACTIVE_0
0,BRT026c-15-1,14000.0,ACTIVE_1
0,BRT026c-15-1,14000.0,ACTIVE_2
0,BRT026c-15-2,14000.0,ACTIVE_0
0,BRT026c-15-2,14000.0,ACTIVE_1
0,BRT026c-15-2,14000.0,ACTIVE_2
0,BRT026c-16-1,14000.0,ACTIVE_0
0,BRT026c-16-1,14000.0,ACTIVE_1
0,BRT026c-16-1,14000.0,ACTIVE_2
0,BRT026c-17-1,14000.0,ACTIVE_1
0,BRT026c-17-1,14000.0,ACTIVE_2
0,BRT026c-17-1,14000.0,ACTIVE_3
0,BRT026c-17-2,14000.0,ACTIVE_0
0,BRT026c-17-2,14000.0,ACTIVE_1
0,BRT026c-17-2,14000.0,ACTIVE_2
0,BRT026c-18-1,14000.0,ACTIVE_0
0,BRT026c-18-1,14000.0,ACTIVE_1
0,BRT026c-18-1,14000.0,ACTIVE_2
0,BRT026c-19-1,14000.0,ACTIVE_0
0,BRT026c-19-1,14000.0,ACTIVE_1
0,BRT026c-19-1,14000.0,ACTIVE_2
0,BRT026c-20-1,14000.0,ACTIVE_1
0,BRT026c-20-1,14000.0,ACTIVE_2
0,BRT026c-20-1,14000.0,ACTIVE_3
0,BRT026c-20-2,14000.0,ACTIVE_0
0,BRT026c-20-2,14000.0,ACTIVE_1
0,BRT026c-20-2,14000.0,ACTIVE_2
0,BRT026c-25-1,14000.0,ACTIVE_0
0,BRT026c-25-1,14000.0,ACTIVE_1
0,BRT026c-25-1,14000.0,ACTIVE_2
0,BRT026c-25-2,14000.0,ACTIVE_0
0,BRT026c-25-2,14000.0,ACTIVE_1
0,BRT026c-25-2,14000.0,ACTIVE_2
0,BRT026c-27-1,14000.0,ACTIVE_0
0,BRT026c-27-1,14000.0,ACTIVE_1
0,BRT026c-27-1,14000.0,ACTIVE_2
0,BRT026c-29-1,14000.0,ACTIVE_0
0,BRT026c-29-1,14000.0,ACTIVE_1
0,BRT026c-29-1,14000.0,ACTIVE_2
0,BRT026c-31-1,14000.0,ACTIVE_0
0,BRT026c-31-1,14000.0,ACTIVE_1
0,BRT026c-31-1,14000.0,ACTIVE_2
0,BRT026c-33-1,14000.0,ACTIVE_0
0,BRT026c-33-1,14000.0,ACTIVE_1
0,BRT026c-33-1,14000.0,ACTIVE_2
0,BRT026c-34-1,14000.0,ACTIVE_0
0,BRT026c-34-1,14000.0,ACTIVE_1
0,BRT026c-34-1,14000.0,ACTIVE_2
0,BRT026c-41-1,14000.0,ACTIVE_0
0,BRT026c-41-1,14000.0,ACTIVE_1
0,BRT026c-41-1,14000.0,ACTIVE_2
0,BRT026c-44-1,14000.0,ACTIVE_0
0,BRT026c-44-1,14000.0,ACTIVE_1
0,BRT026c-44-1,14000.0,ACTIVE_2
0,BRT033b-02-1,11000.0,ACTIVE_1
0,BRT033b-02-1,11000.0,ACTIVE_2
0,BRT033b-03-1,11000.0,ACTIVE_1
0,BRT033b-03-1,11000.0,ACTIVE_2
0,BRT033b-09-1,11000.0,ACTIVE_1
0,BRT033b-09-1,11000.0,ACTIVE_2
0,BRT033b-12-1,11000.0,ACTIVE_1
0,BRT033b-12-1,11000.0,ACTIVE_2
0,BRT033b-12-2,11000.0,ACTIVE_1
0,BRT033b-12-2,11000.0,ACTIVE_2
0,BRT033b-13-1,11000.0,ACTIVE_1
0,BRT033b-13-1,11000.0,ACTIVE_2
0,BRT033b-14-1,11000.0,ACTIVE_1
0,BRT033b-14-1,11000.0,ACTIVE_2
0,BRT033b-15-1,11000.0,ACTIVE_1
0,BRT033b-15-1,11000.0,ACTIVE_2
0,BRT033b-33-1,11000.0,ACTIVE_1
0,BRT033b-33-1,11000.0,ACTIVE_2
0,BRT033b-41-1,11000.0,ACTIVE_1
0,BRT033b-41-1,11000.0,ACTIVE_2
0,BRT033b-45-1,11000.0,ACTIVE_1
0,BRT033b-45-1,11000.0,ACTIVE_2
0,BRT033b-47-1,11000.0,ACTIVE_1
0,BRT033b-47-1,11000.0,ACTIVE_2
0,BRT033b-50-1,11000.0,ACTIVE_1
0,BRT033b-50-1,11000.0,ACTIVE_2
0,BRT033b-50-2,11000.0,ACTIVE_-1
0,BRT033b-50-2,11000.0,ACTIVE_0
0,BRT033b-55-1,11000.0,ACTIVE_-1
0,BRT033b-55-1,11000.0,ACTIVE_0
0,BRT034f-02-1,9500.0,ACTIVE_0
0,BRT034f-02-1,9500.0,ACTIVE_1
0,BRT034f-02-1,9500.0,ACTIVE_2
0,BRT034f-02-1,4000.0,ACTIVE_3
0,BRT034f-07-1,9500.0,ACTIVE_1
0,BRT034f-07-1,9500.0,ACTIVE_2
0,BRT034f-07-1,9500.0,ACTIVE_3
0,BRT034f-07-1,4000.0,ACTIVE_4
0,BRT034f-33-1,9500.0,ACTIVE_1
0,BRT034f-33-1,9500.0,ACTIVE_2
0,BRT034f-33-1,9500.0,ACTIVE_3
0,BRT034f-33-1,4000.0,ACTIVE_4
0,BRT034f-34-1,9500.0,ACTIVE_1
0,BRT034f-34-1,9500.0,ACTIVE_2
0,BRT034f-34-1,9500.0,ACTIVE_3
0,BRT034f-34-1,4000.0,ACTIVE_4
0,BRT036b-01-1,9500.0,ACTIVE_0
0,BRT036b-01-1,9500.0,ACTIVE_1
0,BRT036b-01-1,9500.0,ACTIVE_2
0,BRT036b-06-1,9500.0,ACTIVE_1
0,BRT036b-06-1,9500.0,ACTIVE_2
0,BRT036b-06-1,9500.0,ACTIVE_3
0,BRT036b-07-1,9500.0,ACTIVE_1
0,BRT036b-07-1,9500.0,ACTIVE_2
0,BRT036b-07-1,9500.0,ACTIVE_3
0,BRT036b-07-2,9500.0,ACTIVE_1
0,BRT036b-07-2,9500.0,ACTIVE_2
0,BRT036b-07-2,9500.0,ACTIVE_3
0,BRT036b-10-1,9500.0,ACTIVE_1
0,BRT036b-10-1,9500.0,ACTIVE_2
0,BRT036b-10-1,9500.0,ACTIVE_3
0,BRT036b-11-1,9500.0,ACTIVE_1
0,BRT036b-11-1,9500.0,ACTIVE_2
0,BRT036b-11-1,9500.0,ACTIVE_3
0,BRT036b-12-1,9500.0,ACTIVE_1
0,BRT036b-12-1,9500.0,ACTIVE_2
0,BRT036b-12-1,9500.0,ACTIVE_3
0,BRT036b-20-1,9500.0,ACTIVE_1
0,BRT036b-20-1,9500.0,ACTIVE_2
0,BRT036b-20-1,9500.0,ACTIVE_3
0,BRT036b-21-1,9500.0,ACTIVE_1
0,BRT036b-21-1,9500.0,ACTIVE_2
0,BRT036b-21-1,9500.0,ACTIVE_3
0,BRT036b-25-1,9500.0,ACTIVE_1
0,BRT036b-25-1,9500.0,ACTIVE_2
0,BRT036b-25-1,9500.0,ACTIVE_3
0,BRT036b-28-1,9500.0,ACTIVE_1
0,BRT036b-28-1,9500.0,ACTIVE_2
0,BRT036b-28-1,9500.0,ACTIVE_3
0,BRT036b-29-1,9500.0,ACTIVE_1
0,BRT036b-29-1,9500.0,ACTIVE_2
0,BRT036b-29-1,9500.0,ACTIVE_3
0,BRT036b-31-1,9500.0,ACTIVE_1
0,BRT036b-31-1,9500.0,ACTIVE_2
0,BRT036b-31-1,9500.0,ACTIVE_3
0,BRT036b-36-1,9500.0,ACTIVE_1
0,BRT036b-36-1,9500.0,ACTIVE_2
0,BRT036b-36-1,9500.0,ACTIVE_3
0,BRT036b-38-1,9500.0,ACTIVE_1
0,BRT036b-38-1,9500.0,ACTIVE_2
0,BRT036b-38-1,9500.0,ACTIVE_3
0,BRT036b-40-1,9500.0,ACTIVE_1
0,BRT036b-40-1,9500.0,ACTIVE_2
0,BRT036b-40-1,9500.0,ACTIVE_3
0,BRT036b-40-2,9500.0,ACTIVE_1
0,BRT036b-40-2,9500.0,ACTIVE_2
0,BRT036b-40-2,9500.0,ACTIVE_3
0,BRT036b-45-1,9500.0,ACTIVE_1
0,BRT036b-45-1,9500.0,ACTIVE_2
0,BRT036b-45-1,9500.0,ACTIVE_3
0,BRT036b-46-1,9500.0,ACTIVE_1
0,BRT036b-46-1,9500.0,ACTIVE_2
0,BRT036b-46-1,9500.0,ACTIVE_3
0,BRT036b-46-2,9500.0,ACTIVE_1
0,BRT036b-46-2,9500.0,ACTIVE_2
0,BRT036b-46-2,9500.0,ACTIVE_3
0,BRT037b-01-1,8500.0,ACTIVE_0
0,BRT037b-01-1,8500.0,ACTIVE_1
0,BRT037b-03-1,8500.0,ACTIVE_1
0,BRT037b-03-1,8500.0,ACTIVE_2
0,BRT037b-10-1,8500.0,ACTIVE_1
0,BRT037b-10-1,8500.0,ACTIVE_2
0,BRT037b-13-1,8500.0,ACTIVE_1
0,BRT037b-13-1,8500.0,ACTIVE_2
0,BRT037b-13-2,8500.0,ACTIVE_0
0,BRT037b-13-2,8500.0,ACTIVE_1
0,BRT037b-15-1,8500.0,ACTIVE_0
0,BRT037b-15-1,8500.0,ACTIVE_1
0,BRT037b-24-1,8500.0,ACTIVE_0
0,BRT037b-24-1,8500.0,ACTIVE_1
0,BRT037b-24-2,8500.0,ACTIVE_0
0,BRT037b-24-2,8500.0,ACTIVE_1
0,BRT037b-24-2,8500.0,ACTIVE_2
0,BRT037b-28-1,8500.0,ACTIVE_0
0,BRT037b-28-1,8500.0,ACTIVE_1
0,BRT037b-28-1,8500.0,ACTIVE_2
0,BRT037b-30-1,8500.0,ACTIVE_0
0,BRT037b-30-1,8500.0,ACTIVE_1
0,BRT037b-30-1,8500.0,ACTIVE_2
0,BRT037b-33-1,8500.0,ACTIVE_0
0,BRT037b-33-1,8500.0,ACTIVE_1
0,BRT037b-33-1,8500.0,ACTIVE_2
0,BRT037b-36-1,8500.0,ACTIVE_1
0,BRT037b-36-1,8500.0,ACTIVE_2
0,BRT037b-36-2,8500.0,ACTIVE_0
0,BRT037b-36-2,8500.0,ACTIVE_1
0,BRT037b-36-2,8500.0,ACTIVE_2
0,BRT037b-43-1,8500.0,ACTIVE_0
0,BRT037b-43-1,8500.0,ACTIVE_1
0,BRT037b-43-1,8500.0,ACTIVE_2
0,BRT037b-48-1,8500.0,ACTIVE_0
0,BRT037b-48-1,8500.0,ACTIVE_1
0,BRT037b-51-1,8500.0,ACTIVE_0
0,BRT037b-51-1,8500.0,ACTIVE_1
0,BRT037b-63-1,8500.0,ACTIVE_0
0,BRT037b-63-1,8500.0,ACTIVE_1
0,BRT037b-63-1,8500.0,ACTIVE_2
0,BRT039c-03-1,5000.0,ACTIVE_0
0,BRT039c-03-1,5000.0,ACTIVE_1
0,BRT039c-03-1,5000.0,ACTIVE_2
0,BRT039c-24-1,5000.0,ACTIVE_0
0,BRT039c-24-1,5000.0,ACTIVE_1
0,BRT039c-24-1,5000.0,ACTIVE_2
0,BRT039c-25-1,5000.0,ACTIVE_0
0,BRT039c-25-1,5000.0,ACTIVE_1
0,BRT039c-25-1,5000.0,ACTIVE_2
0,BRT039c-40-1,5000.0,ACTIVE_0
0,BRT039c-40-1,5000.0,ACTIVE_1
0,BRT039c-40-1,5000.0,ACTIVE_2
0,BRT039c-45-1,5000.0,ACTIVE_0
0,BRT039c-45-1,5000.0,ACTIVE_1
0,BRT039c-45-1,5000.0,ACTIVE_2
0,TAR010c-01-1,500.0,ACTIVE_1
0,TAR010c-01-1,500.0,ACTIVE_2
0,TAR010c-06-1,500.0,ACTIVE_1
0,TAR010c-06-1,500.0,ACTIVE_2
0,TAR010c-07-1,500.0,ACTIVE_0
0,TAR010c-07-1,500.0,ACTIVE_1
0,TAR010c-09-1,500.0,ACTIVE_0
0,TAR010c-09-1,500.0,ACTIVE_1
0,TAR010c-12-1,500.0,ACTIVE_0
0,TAR010c-12-1,500.0,ACTIVE_1
0,TAR010c-14-1,500.0,ACTIVE_0
0,TAR010c-14-1,500.0,ACTIVE_1
