,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt
0,btn015b-b1,psth.fs20-ld-st.fil-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil,baseline,0.0,91.3,[0.87446203],[0.00812794],0.7984359395204442,1.1548122976536523,0.0,baseline
1,btn015b-b1,psth.fs20-ld-st.fil-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil,ACTIVE_1,-0.0328904102008117,91.3,[0.87446203],[0.00812794],0.14808260311669003,-0.31036846130964574,0.0,ACTIVE_1
2,btn003c-b1,psth.fs20-ld-st.fil-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil,baseline,0.0,99.5,[0.70438421],[0.00691553],0.6491838440048496,0.72650086127582,0.0,baseline
3,btn003c-b1,psth.fs20-ld-st.fil-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil,ACTIVE_1,0.09316709920236696,99.5,[0.70438421],[0.00691553],0.14210928906954995,0.19125181374121225,0.0,ACTIVE_1
4,btn003c-b1,psth.fs20-ld-st.fil-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil,ACTIVE_2,0.19312571487660274,99.5,[0.70438421],[0.00691553],0.35461609475603145,0.5536576637094568,0.0,ACTIVE_2
5,btn003c-b1,psth.fs20-ld-st.fil-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil,PASSIVE_1,0.23383204283510706,99.5,[0.70438421],[0.00691553],0.3755288996741307,0.3490505959303634,0.0,PASSIVE_1
6,btn114d-b1,psth.fs20-ld-st.fil-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil,baseline,0.0,82.9,[0.78599646],[0.0125281],0.5592729631175981,1.0053383556217883,0.0,baseline
7,btn114d-b1,psth.fs20-ld-st.fil-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil,ACTIVE_1,0.05672138039360943,82.9,[0.78599646],[0.0125281],0.10924736874207175,-0.046784672826800634,0.0,ACTIVE_1
8,btn114d-b1,psth.fs20-ld-st.fil-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil,ACTIVE_2,0.10022169810355239,82.9,[0.78599646],[0.0125281],0.20176095769333363,-0.061820023581069895,0.0,ACTIVE_2
9,btn114d-b1,psth.fs20-ld-st.fil-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil,PASSIVE_1,0.07683802524568127,82.9,[0.78599646],[0.0125281],0.11357183125136616,0.08950352362917485,0.0,PASSIVE_1
10,btn114b-b1,psth.fs20-ld-st.fil-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil,baseline,0.0,72.5,[0.7862998],[0.01134975],0.5514394668662304,1.233580553504519,0.0,baseline
