,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt
0,TAR010c-19-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,99.4463,0.7870448324102676,0.011825719976007664,-0.002835513657649706,1.0177732867924703,0.0,baseline
1,TAR010c-19-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-3.9845974214714985e-05,99.4463,0.7870448324102676,0.011825719976007664,0.0006925780919414327,-0.005455832000066732,0.0,ACTIVE_1
2,TAR010c-19-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.0018209990310531956,99.4463,0.7870448324102676,0.011825719976007664,0.001537796311143034,-0.012420384337453277,0.0,PASSIVE_1
3,TAR010c-19-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,-0.0014501441223892968,99.4463,0.7870448324102676,0.011825719976007664,0.004976004841209111,-0.018148241168476208,0.0,ACTIVE_2
4,TAR010c-19-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_2,0.0007160884152628165,99.4463,0.7870448324102676,0.011825719976007664,0.01886893281107432,-0.09339371149721445,0.0,PASSIVE_2
5,BRT033b-03-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,99.6506,0.8253667613775845,0.007815602252367344,0.2416318500408609,0.9696114360010883,0.0,baseline
6,BRT033b-03-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.003052122607006672,99.6506,0.8253667613775845,0.007815602252367344,0.001558573967947279,0.04065396220720187,0.0,ACTIVE_1
7,BRT033b-03-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,-0.00031698871647422975,99.6506,0.8253667613775845,0.007815602252367344,-0.005664425235281673,0.017713247020750392,0.0,ACTIVE_2
8,BRT033b-03-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,0.002508894531708047,99.6506,0.8253667613775845,0.007815602252367344,-0.008305916134500655,0.04545037629862325,0.0,PASSIVE_1
9,TAR010c-24-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,75.7928,0.5821105354799762,0.020955560472505665,0.3152938680432842,1.0242703218059699,0.0,baseline
10,TAR010c-24-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,0.00047431825977988716,75.7928,0.5821105354799762,0.020955560472505665,0.0010996087344723646,-0.013016822030773718,0.0,ACTIVE_0
11,TAR010c-24-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,-0.0027548934627713217,75.7928,0.5821105354799762,0.020955560472505665,-0.0037956666416933066,-0.051441733087922006,0.0,ACTIVE_1
12,TAR010c-24-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.0024586650560890063,75.7928,0.5821105354799762,0.020955560472505665,-0.015398427590934762,-0.004686100759624589,0.0,PASSIVE_1
13,BRT026c-44-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,95.0,0.4907126840829637,0.017755966121031162,0.35260313867662985,1.055031156539266,0.0,baseline
14,BRT026c-44-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_0,0.00040355467512776606,95.0,0.4907126840829637,0.017755966121031162,-0.010875341899509856,-0.0867830507075533,0.0,ACTIVE_0
15,BRT026c-44-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.006293622533330685,95.0,0.4907126840829637,0.017755966121031162,-0.012721362486361226,-0.04899586215767503,0.0,ACTIVE_1
16,BRT026c-44-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,0.0027545196234155345,95.0,0.4907126840829637,0.017755966121031162,0.0003564235538702421,-0.009670291597090685,0.0,ACTIVE_2
17,BRT033b-02-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,96.0388,0.8437556070490461,0.013848419044837197,0.3674408446771996,0.9912713050661088,0.0,baseline
18,BRT033b-02-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_1,0.0030294744034252996,96.0388,0.8437556070490461,0.013848419044837197,-0.00732368197619359,0.008178589096106557,0.0,ACTIVE_1
19,BRT033b-02-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,ACTIVE_2,0.00035931047996454657,96.0388,0.8437556070490461,0.013848419044837197,-0.019246276759991337,0.00930604678199088,0.0,ACTIVE_2
20,BRT033b-02-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,PASSIVE_1,-0.0005513048520112224,96.0388,0.8437556070490461,0.013848419044837197,0.01581372297182821,0.017625343665220648,0.0,PASSIVE_1
21,BRT033b-09-1,psth.fs20-ld-st.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.fil0,baseline,,95.0,0.7173556007963018,0.012287357854191739,0.9427804352124791,1.0201117093504963,0.0,baseline
