,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,d_amplitude,d_base,d_kappa,d_offset,g_amplitude,g_base,g_kappa,g_offset
0,BRT036b-40-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,baseline,0.0,96.0388,[0.22310839],[0.02450619],,,,baseline,0.09728926477139674,-0.00341552038583962,-0.000676102615314581,0.0006609196616537874,1.4302639039721499,-0.02036545500311068,-0.007950451776541667,0.007733616605013055
1,BRT036b-40-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,pupil,0.015702231704200667,96.0388,[0.22310839],[0.02450619],,,,pupil,-0.0037874771088526197,-0.0034154118776265467,-0.0006347185424154433,-0.010866009018769055,-0.07395971602831128,-0.020366063565727312,-0.154631930528432,-0.016608988376578156
2,BRT036b-40-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_1,0.005905346822225622,96.0388,[0.22310839],[0.02450619],,,,ACTIVE_1,-0.060128162879357606,-0.0034141549641640693,-0.018795795803610748,-0.0019580223158664257,-1.5172842373601576,-0.02036640222911025,-0.18730876965578408,-0.08524857151832856
3,BRT036b-40-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_1,-0.00928030113546652,96.0388,[0.22310839],[0.02450619],,,,PASSIVE_1,-0.032826728744168684,-0.0034151538859192076,-0.017812791992442463,-0.004264855218386538,-0.5955206776603634,-0.020367979838658762,0.013127255944021676,0.00444026093189281
4,BRT036b-40-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_2,-0.01009165408750079,96.0388,[0.22310839],[0.02450619],,,,ACTIVE_2,0.027362520964542215,-0.0034143591087607583,-0.01365212283182042,-0.0033415769090566648,0.6140118458141378,-0.02036794559345276,0.032746368138360384,0.017756207127929934
5,BRT036b-40-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_2,-0.005816207302886294,96.0388,[0.22310839],[0.02450619],,,,PASSIVE_2,0.07132444662499876,-0.0034148975085398236,-0.010220997645681582,-0.0017095681042124174,1.091532516987227,-0.02036740846022185,0.2329664071113012,0.1139580656941996
6,BRT036b-40-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_3,-0.008525505496448147,96.0388,[0.22310839],[0.02450619],,,,PASSIVE_3,0.04676811666325738,-0.003416218422813336,-0.012552274279598616,-0.0019204934168318352,0.713676911303742,-0.020367251909202123,0.10673505570932554,0.05152175265398058
7,BRT036b-40-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_3,-0.010036664459591282,96.0388,[0.22310839],[0.02450619],,,,ACTIVE_3,0.06871267822792965,-0.0034156777272100146,-0.014069639138797305,-0.004954452548952206,1.1790884552806264,-0.02036679903808687,0.06810805411957092,0.03470407185911604
8,BRT036b-40-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,PASSIVE_4,-0.0016935072088810955,96.0388,[0.22310839],[0.02450619],,,,PASSIVE_4,-0.038363192654904815,-0.0034166851331066264,-0.01714893135474662,-0.0034371165802102505,-0.5072140494402031,-0.020367812929412945,0.014933196079484628,0.005760419645346937
9,TAR010c-58-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,baseline,0.0,95.0,[0.4819238],[0.01670766],,,,baseline,0.11988572040036558,0.028725359531395038,0.0007109982095351577,-0.000711237322744602,1.4409191108674024,-0.005071584896400616,-0.002219015992011299,0.002049497110227134
10,TAR010c-58-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,pupil,-0.003377941133851182,95.0,[0.4819238],[0.01670766],,,,pupil,0.009805959991211937,0.028725335281338277,0.006974995703552677,0.013765873800719553,0.045339393921096566,-0.005071524193253012,-0.013413719941610627,0.006514267685448517
11,TAR010c-58-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S.snl_jk.nf20-basic.t7,st.pup0.fil0,ACTIVE_1,-0.0013800360179273055,95.0,[0.4819238],[0.01670766],,,,ACTIVE_1,-0.04565596950529062,0.028725226889989353,-0.008859182849392933,-0.0046948368213497755,-0.18802260564460646,-0.0050716555552317456,-0.018137765282887405,-0.007558786551906024
