,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt
0,TAR010c-18-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.pup0.fil0,baseline,,95.0,0.18809022519798194,0.02637735679476432,0.039842200853312394,0.9452062043303912,0.0,baseline
1,TAR010c-18-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.pup0.fil0,pupil,-0.02916112473849162,95.0,0.18809022519798194,0.02637735679476432,0.0001143678719603894,0.061015797790368406,0.0,pupil
2,TAR010c-18-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_0,-0.004675656839025832,95.0,0.18809022519798194,0.02637735679476432,0.004228171148728563,0.1485609133534807,0.0,ACTIVE_0
3,TAR010c-18-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,0.023539931517445385,95.0,0.18809022519798194,0.02637735679476432,0.0006920725261214654,0.07446151542958486,0.0,ACTIVE_1
4,TAR010c-18-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_1,0.013218903448082658,95.0,0.18809022519798194,0.02637735679476432,-0.009518268177766149,-0.5811621945579534,0.0,PASSIVE_1
5,bbl102d-60-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.pup0.fil0,baseline,,95.0,0.6925806537660899,0.009609029818584936,0.323493501120126,1.0177306401030806,0.0,baseline
6,bbl102d-60-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.pup0.fil0,pupil,0.00926836886246529,95.0,0.6925806537660899,0.009609029818584936,0.006300159173143284,-0.012435971140275238,0.0,pupil
7,bbl102d-60-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,-0.0025838891669620005,95.0,0.6925806537660899,0.009609029818584936,0.013746907974541502,-0.013800975445835171,0.0,ACTIVE_1
8,bbl102d-60-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_1,-0.0026450331735278815,95.0,0.6925806537660899,0.009609029818584936,0.025047354774167745,-0.021786269724555017,0.0,PASSIVE_1
9,bbl102d-60-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_2,-0.0032674761750709136,95.0,0.6925806537660899,0.009609029818584936,0.017255952742903084,-0.024872030103455865,0.0,ACTIVE_2
10,BRT036b-45-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.pup0.fil0,baseline,,99.117,0.950992812687921,0.0026664288950694268,0.46628280208363354,1.0010725429161687,0.0,baseline
11,BRT036b-45-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_stategain.S_jk.nf20-basic,st.pup0.fil0,pupil,-0.022204085832052575,99.117,0.950992812687921,0.0026664288950694268,0.0015886285847523597,0.0010644425534352808,0.0,pupil
