,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,d_amplitude,d_base,d_kappa,d_offset,dc_mod,g_amplitude,g_base,g_kappa,g_offset,gain_mod
0,BRT039c-40-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,baseline,0.0,95.4293,[0.45765443],[0.02725676],,,,baseline,0.09742182484482506,0.14018355240699495,0.010436225540150463,-0.010429201616667674,0.0,1.033492829016502,0.050926260500097784,0.009960111049537042,-0.010875213080800045,0.0
1,BRT039c-40-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,pupil,0.023608418932812594,95.4293,[0.45765443],[0.02725676],,,,pupil,0.35605011751728044,0.14018087593643774,0.6392144066214022,-1.1222410079660654,0.036156991671993884,1.1229055690734595,0.05092689729856027,0.043571247475816165,-0.8164082658784105,0.11503333727633436
2,BRT039c-40-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_0,-0.0069895897430825235,95.4293,[0.45765443],[0.02725676],,,,ACTIVE_0,-0.021627028186753383,0.14018144579258526,-0.1054765400656557,0.012174915725724402,-0.005843234182602165,-0.6499256618851218,0.05092604284168001,-0.12275937269615449,-0.04649459286969155,-0.09815051017037103
3,BRT039c-40-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_1,-0.048465777810741545,95.4293,[0.45765443],[0.02725676],,,,ACTIVE_1,-0.19923357149524604,0.14018027931562188,-0.1166358671329358,0.045354604259212956,-0.05038856643164405,0.1074442338589561,0.05092676213711389,-0.34803200865839484,-0.19066706354653845,0.1462599333729329
4,BRT039c-40-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_2,-0.013358933623559595,95.4293,[0.45765443],[0.02725676],,,,ACTIVE_2,-0.07945183527387599,0.14018061999439993,-0.10522714511473819,-0.04393475587294393,-0.011914035198308952,0.6024035539932975,0.05092690526887039,-0.0027856564547585087,-0.016290645706626552,0.14199786483088828
5,BRT039c-40-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_0Xpup,-0.00044497549686720446,95.4293,[0.45765443],[0.02725676],,,,ACTIVE_0Xpup,-0.06855371723977421,0.14018260230583027,-0.3426128289624561,0.14868216410675592,0.007664995732719737,0.07282368744563514,0.05092681522631455,-0.11551793098465138,-0.17083481537005002,-0.007856447546426299
6,BRT039c-40-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_1Xpup,0.0,95.4293,[0.45765443],[0.02725676],,,,ACTIVE_1Xpup,-0.5331693503317709,0.1401790885714041,0.6245119836141184,-1.2847392022908086,0.0,-0.9823803714435982,0.050927170373972465,1.480464427933163,-0.3644729503345905,0.0
7,BRT039c-40-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_2Xpup,-0.02072068389551861,95.4293,[0.45765443],[0.02725676],,,,ACTIVE_2Xpup,-0.28177835753781066,0.14018124877257018,1.2381303743750516,-0.7723464064057708,-0.012911473852502959,-0.7969134334490737,0.05092632446966372,-0.2441309294786406,0.3708391307038571,0.15982030161096428
8,TAR010c-38-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,baseline,0.0,79.1107,[0.79691498],[0.01091128],,,,baseline,0.19520411587924086,0.2822870778128481,0.0037764559497991067,-0.003795230094415093,0.0,1.096521748118703,0.13876555244273656,0.03628304439443169,-0.03608077460450661,0.0
9,TAR010c-38-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,pupil,-0.01793849041483883,79.1107,[0.79691498],[0.01091128],,,,pupil,1.3667908991763449,0.28228691255442173,-0.6129263610812878,1.8783636045825518,-0.08209652043514606,0.2321694621739599,0.1387645618637048,2.5503538499274674,-1.3754510495821894,0.10450414717188942
10,TAR010c-38-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_0,-0.07821074754343436,79.1107,[0.79691498],[0.01091128],,,,ACTIVE_0,-0.9351657811947115,0.28228833476157855,-0.05087855906736871,-0.016479155584063095,-0.20182557665365505,0.07771658707654837,0.1387611568480954,-0.2598853113590303,-0.09967925154031301,0.07206337754748654
11,TAR010c-38-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_1,-0.06726750472847279,79.1107,[0.79691498],[0.01091128],,,,ACTIVE_1,-0.755502510419273,0.28228858596599493,-0.0686947192680541,-0.023795211302041586,-0.17760675153958924,-0.1354594285425058,0.1387648494515045,-0.13832688383874367,-0.0662973700305102,0.0728913548964288
12,TAR010c-38-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_0Xpup,-0.08224832042588266,79.1107,[0.79691498],[0.01091128],,,,ACTIVE_0Xpup,-0.36607442542585267,0.28228616676321777,0.2912656239146819,-0.45035171615776326,-0.19397172586064554,-0.6807656472357969,0.13876157628528069,-0.5782625566562346,0.32961429780231233,0.05270537851197076
13,TAR010c-38-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_1Xpup,-0.08458302055363418,79.1107,[0.79691498],[0.01091128],,,,ACTIVE_1Xpup,-0.7838314011185384,0.28229280372619525,-0.4540389167467752,-0.28365240558273974,-0.19243098320477087,-0.9574230230562986,0.1387667324945084,-0.4470291047542192,-0.8368051328153842,0.030656251265274846
14,TAR010c-33-2,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,baseline,0.0,85.0,[0.67326794],[0.01410352],,,,baseline,0.049320421432075726,0.0721762104895306,2.081439031968854e-06,-2.6835116762284963e-05,0.0,0.9785701170155194,-0.029853514811734934,-0.008916696491406988,0.008517165480981529,0.0
15,TAR010c-33-2,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,pupil,-0.14260846134047458,85.0,[0.67326794],[0.01410352],,,,pupil,-0.07905175163170776,0.07217617315128591,1.465164820030199,-0.40302645477688886,-0.11708561916127415,1.413684043444677,-0.029855526454800007,-1.7522568527788138,-0.9860576971464245,0.118951639056095
16,TAR010c-33-2,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_0,-0.2496748145548417,85.0,[0.67326794],[0.01410352],,,,ACTIVE_0,-0.38971590855796856,0.07217596263486206,-0.06262849812136621,-0.049966771454578854,-0.14831220725217473,-0.8404388916558323,-0.029855286119192453,0.10042295497226525,0.030762465072002858,-0.13896219472876198
17,TAR010c-33-2,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_1,-0.08323434334425596,85.0,[0.67326794],[0.01410352],,,,ACTIVE_1,-0.22651240683496612,0.07217593894667776,-0.04356554041292783,-0.05843077497368595,-0.10199399292269727,0.6223489563417365,-0.029855284837298213,-0.043553420227483944,-0.014926400271066054,0.3186095937701047
18,TAR010c-33-2,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_0Xpup,-0.24685096715231356,85.0,[0.67326794],[0.01410352],,,,ACTIVE_0Xpup,0.14055367992243264,0.07217624850656769,-0.3591657893985365,0.5146558807542327,-0.1481298156647242,0.028199798691181215,-0.029855267647551087,-0.37537075660527686,-0.06825175809805406,-0.12139721634963613
19,TAR010c-33-2,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_1Xpup,-0.08367305846230129,85.0,[0.67326794],[0.01410352],,,,ACTIVE_1Xpup,0.1552423647878694,0.07217614475149645,0.10468494267238301,0.056524647552953264,-0.10214217282636516,0.14842332939478833,-0.029855457386613993,0.21577747963642796,0.28724515139300133,0.35677040025371615
20,BRT037b-24-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,baseline,0.0,85.0,[0.96334044],[0.00127744],,,,baseline,0.005832216692958549,0.008369697171517716,-0.0007212011851843632,0.0007218530132792683,0.0,1.2134997274502948,0.3057658122659295,0.08120243337449076,-0.08032736086731815,0.0
21,BRT037b-24-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,pupil,-0.008101197952032596,85.0,[0.96334044],[0.00127744],,,,pupil,-0.33867720675237384,0.008369505488908188,-0.5487559421529664,1.5423468884398817,-0.01597583468351045,0.10436382630076065,0.30576420009057775,1.7795097529672201,-0.9444834632704042,-0.005388198410419376
22,BRT037b-24-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_0,-0.057125314133205096,85.0,[0.96334044],[0.00127744],,,,ACTIVE_0,0.04941650972878539,0.008369522399886281,-0.12118615340422038,-0.05578699635989126,0.015833764629439636,-0.42927304693907997,0.3057641271561763,-0.007801117257422008,0.018318150323250536,-0.13629720957553865
23,BRT037b-24-1,psth.fs20.pup-ld-st.pup.afl.pxf-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.afl.pxf,ACTIVE_1,-0.0005446548261153271,85.0,[0.96334044],[0.00127744],,,,ACTIVE_1,-0.08971811091029487,0.008369873104697109,-0.14770261469594476,-0.06639055756252019,-0.03792221745181885,-0.013305123513738795,0.30576462820192063,-0.08502533884387219,-0.04015074719132174,0.03753073210457587
