,cellid,tar_freq,state_chan_alt
0,bbl071d-a1,400.0,ACTIVE_1
0,bbl071d-a1,400.0,ACTIVE_2
0,bbl071d-a1,400.0,ACTIVE_3
0,bbl071d-a2,400.0,ACTIVE_1
0,bbl071d-a2,400.0,ACTIVE_2
0,bbl071d-a2,400.0,ACTIVE_3
0,bbl071d-a3,400.0,ACTIVE_1
0,bbl071d-a3,400.0,ACTIVE_2
0,bbl071d-a3,400.0,ACTIVE_3
0,bbl074g-a1,4500.0,ACTIVE_1
0,bbl074g-a1,4500.0,ACTIVE_2
0,bbl078k-a1,2850.0,ACTIVE_1
0,bbl081d-a1,2000.0,ACTIVE_1
0,bbl081d-a1,2000.0,ACTIVE_2
0,bbl081d-a2,2000.0,ACTIVE_0
0,bbl081d-a2,2000.0,ACTIVE_1
0,BRT005c-a1,1000.0,ACTIVE_1
0,BRT005c-a1,1000.0,ACTIVE_2
0,BRT006d-a1,2000.0,ACTIVE_1
0,BRT006d-a1,2000.0,ACTIVE_2
0,BRT006d-a2,2000.0,ACTIVE_1
0,BRT006d-a2,2000.0,ACTIVE_2
0,BRT007c-a1,500.0,ACTIVE_1
0,BRT007c-a1,500.0,ACTIVE_2
0,BRT007c-a1,500.0,ACTIVE_3
0,BRT007c-a1,500.0,ACTIVE_4
0,BRT007c-a3,500.0,ACTIVE_1
0,BRT009a-a1,800.0,ACTIVE_1
0,BRT009c-a1,500.0,ACTIVE_1
0,BRT009c-a1,500.0,ACTIVE_2
0,BRT009d-a1,1500.0,ACTIVE_1
0,BRT015b-a1,15000.0,ACTIVE_1
0,BRT015c-a1,12000.0,ACTIVE_1
0,BRT015c-a1,12000.0,ACTIVE_2
0,BRT016f-a1,600.0,ACTIVE_1
0,BRT016f-a1,600.0,ACTIVE_2
0,BRT016f-a1,600.0,ACTIVE_3
0,BRT016f-a1,1200.0,ACTIVE_4
0,BRT017g-a1,1000.0,ACTIVE_1
0,BRT017g-a1,1000.0,ACTIVE_2
0,BRT017g-a1,1000.0,ACTIVE_3
0,BRT017g-a3,1000.0,ACTIVE_1
0,ley011c-a1,5500.0,ACTIVE_1
0,ley026g-a1,12500.0,ACTIVE_1
0,ley027f-a1,6000.0,ACTIVE_1
0,ley027f-a1,1500.0,ACTIVE_2
0,ley027g-a1,6700.0,ACTIVE_1
0,ley027g-a1,1675.0,ACTIVE_2
0,ley027g-a2,6700.0,ACTIVE_1
0,ley027g-a2,1675.0,ACTIVE_2
0,ley034g-a1,5200.0,ACTIVE_1
0,ley034g-a1,2000.0,ACTIVE_2
0,ley035c-a1,9500.0,ACTIVE_1
0,ley040j-a1,5000.0,ACTIVE_1
0,ley040j-a1,12500.0,ACTIVE_2
0,ley040k-a1,13400.0,ACTIVE_1
0,ley040k-a1,3000.0,ACTIVE_2
0,ley041l-a1,13000.0,ACTIVE_1
0,ley041l-a1,17000.0,ACTIVE_2
0,ley042i-a1,11000.0,ACTIVE_1
0,ley042i-a1,4000.0,ACTIVE_2
0,ley046f-01-1,6000.0,ACTIVE_1
0,ley046f-03-1,6000.0,ACTIVE_1
0,ley046f-06-1,6000.0,ACTIVE_1
0,ley046f-08-1,6000.0,ACTIVE_1
0,ley046f-12-1,6000.0,ACTIVE_1
0,ley046f-13-1,6000.0,ACTIVE_1
0,ley046f-21-1,6000.0,ACTIVE_1
0,ley046f-22-1,6000.0,ACTIVE_1
0,ley046f-27-1,6000.0,ACTIVE_1
0,ley046f-28-1,6000.0,ACTIVE_1
0,ley046f-30-1,6000.0,ACTIVE_1
0,ley046f-32-1,6000.0,ACTIVE_1
0,ley046f-38-1,6000.0,ACTIVE_1
0,ley046f-41-1,6000.0,ACTIVE_1
0,ley046f-44-1,6000.0,ACTIVE_1
0,ley046f-55-1,6000.0,ACTIVE_1
0,ley046f-60-1,6000.0,ACTIVE_1
0,ley046f-62-1,6000.0,ACTIVE_1
0,ley046g-04-1,5100.0,ACTIVE_1
0,ley046g-04-1,12000.0,ACTIVE_2
0,ley046g-11-1,5100.0,ACTIVE_1
0,ley046g-11-1,12000.0,ACTIVE_2
0,ley046g-12-1,5100.0,ACTIVE_1
0,ley046g-12-1,12000.0,ACTIVE_2
0,ley046g-23-1,5100.0,ACTIVE_1
0,ley046g-23-1,12000.0,ACTIVE_2
0,ley046g-30-1,5100.0,ACTIVE_1
0,ley046g-30-1,12000.0,ACTIVE_2
0,ley046g-31-1,5100.0,ACTIVE_1
0,ley046g-31-1,12000.0,ACTIVE_2
0,ley046g-31-2,5100.0,ACTIVE_1
