,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt,R2,area,sign,experimenter,onBF,SU,animal,task,bestsnr,bestbf,PASSIVE_0_snr,PASSIVE_0_bf,PASSIVE_0,ACTIVE_1_snr,ACTIVE_1_bf,ACTIVE_1,ACTIVE_1_tf,ACTIVE_1_tardist,PASSIVE_1_snr,PASSIVE_1_bf,PASSIVE_1,ACTIVE_2_snr,ACTIVE_2_bf,ACTIVE_2,ACTIVE_2_tf,ACTIVE_2_tardist,ACTIVE_3_snr,ACTIVE_3_bf,ACTIVE_3,ACTIVE_3_tf,ACTIVE_3_tardist,ACTIVE_0_snr,ACTIVE_0_bf,ACTIVE_0,ACTIVE_0_tf,ACTIVE_0_tardist,PASSIVE_2_snr,PASSIVE_2_bf,PASSIVE_2,PASSIVE_3_snr,PASSIVE_3_bf,PASSIVE_3,ACTIVE_4_snr,ACTIVE_4_bf,ACTIVE_4,ACTIVE_4_tf,ACTIVE_4_tardist,PASSIVE_4_snr,PASSIVE_4_bf,PASSIVE_4,R2_diff,R2beh_unique,R2pup_unique,MIbeh_only,MIbeh_unique,MIpup_unique,sig_ubeh,sig_upup,sig_state,sig_obeh,sig_any
0,AMT020a-57-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.902190814214232,0.006637243411692314,-0.0033843365741662397,1.041814198616157,0.0,baseline,0.8139482652525388,A1,TBD,DS,False,True,AMT,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0272274468010979,-0.0010303366858163132,0.02602415474499098,0.024365109297658914,0.0037434308634638133,0.03639404071814121,False,True,True,False,True
1,AMT020a-57-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.004579266408596829,95.0,0.902190814214232,0.006637243411692314,0.05657144705965623,-0.020691430648258652,0.0,pupil,0.8139482652525388,A1,TBD,DS,False,True,AMT,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0272274468010979,-0.0010303366858163132,0.02602415474499098,0.024365109297658914,0.0037434308634638133,0.03639404071814121,False,True,True,False,True
2,AMT020a-57-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-0.0032446993213074453,95.0,0.902190814214232,0.006637243411692314,-0.010523636740151452,0.0542450058423839,0.0,active,0.8139482652525388,A1,TBD,DS,False,True,AMT,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0272274468010979,-0.0010303366858163132,0.02602415474499098,0.024365109297658914,0.0037434308634638133,0.03639404071814121,False,True,True,False,True
3,AMT020a-57-1,psth.fs20.pup-ld-st.pup0.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh,baseline,,95.0,0.9028574401912218,0.006558454812108342,-0.010858656303928313,0.9761086966439546,0.0,baseline,0.8151515573086457,A1,TBD,DS,False,True,AMT,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0272274468010979,-0.0010303366858163132,0.02602415474499098,0.024365109297658914,0.0037434308634638133,0.03639404071814121,False,True,True,False,True
4,AMT020a-57-1,psth.fs20.pup-ld-st.pup0.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh,pupil,0.01757264953816217,95.0,0.9028574401912218,0.006558454812108342,0.2259811071253623,-0.036495770027987866,0.0,pupil,0.8151515573086457,A1,TBD,DS,False,True,AMT,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0272274468010979,-0.0010303366858163132,0.02602415474499098,0.024365109297658914,0.0037434308634638133,0.03639404071814121,False,True,True,False,True
5,AMT020a-57-1,psth.fs20.pup-ld-st.pup0.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh,active,0.021120409976351468,95.0,0.9028574401912218,0.006558454812108342,-0.5397782760915227,0.5330686749984788,0.0,active,0.8151515573086457,A1,TBD,DS,False,True,AMT,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0272274468010979,-0.0010303366858163132,0.02602415474499098,0.024365109297658914,0.0037434308634638133,0.03639404071814121,False,True,True,False,True
6,AMT020a-57-1,psth.fs20.pup-ld-st.pup.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh0,baseline,,95.0,0.9177178481098932,0.0068756550672256864,0.5185628748844353,2.521553741911565,0.0,baseline,0.842206048739453,A1,TBD,DS,False,True,AMT,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0272274468010979,-0.0010303366858163132,0.02602415474499098,0.024365109297658914,0.0037434308634638133,0.03639404071814121,False,True,True,False,True
7,AMT020a-57-1,psth.fs20.pup-ld-st.pup.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh0,pupil,0.051583915009201765,95.0,0.9177178481098932,0.0068756550672256864,-0.8788763847328516,1.3044787772411897,0.0,pupil,0.842206048739453,A1,TBD,DS,False,True,AMT,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0272274468010979,-0.0010303366858163132,0.02602415474499098,0.024365109297658914,0.0037434308634638133,0.03639404071814121,False,True,True,False,True
8,AMT020a-57-1,psth.fs20.pup-ld-st.pup.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh0,active,0.01922486588462993,95.0,0.9177178481098932,0.0068756550672256864,-0.10458430515073228,0.15041424024495256,0.0,active,0.842206048739453,A1,TBD,DS,False,True,AMT,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0272274468010979,-0.0010303366858163132,0.02602415474499098,0.024365109297658914,0.0037434308634638133,0.03639404071814121,False,True,True,False,True
9,AMT020a-57-1,psth.fs20.pup-ld-st.pup.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh,baseline,,95.0,0.9171563182215106,0.006942469650109199,1.193438520219434,2.859943721748494,0.0,baseline,0.8411757120536367,A1,TBD,DS,False,True,AMT,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0272274468010979,-0.0010303366858163132,0.02602415474499098,0.024365109297658914,0.0037434308634638133,0.03639404071814121,False,True,True,False,True
10,AMT020a-57-1,psth.fs20.pup-ld-st.pup.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh,pupil,0.05396669025630338,95.0,0.9171563182215106,0.006942469650109199,-1.6442258335727888,1.4387480849374716,0.0,pupil,0.8411757120536367,A1,TBD,DS,False,True,AMT,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0272274468010979,-0.0010303366858163132,0.02602415474499098,0.024365109297658914,0.0037434308634638133,0.03639404071814121,False,True,True,False,True
11,AMT020a-57-1,psth.fs20.pup-ld-st.pup.beh-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup.beh,active,0.022968296748093742,95.0,0.9171563182215106,0.006942469650109199,0.455371662956661,1.878295050397361,0.0,active,0.8411757120536367,A1,TBD,DS,False,True,AMT,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0272274468010979,-0.0010303366858163132,0.02602415474499098,0.024365109297658914,0.0037434308634638133,0.03639404071814121,False,True,True,False,True
12,AMT020a-51-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,baseline,,95.0,0.6701575901544768,0.01133893667892311,0.024204630012088203,1.0439894721687248,0.0,baseline,0.44911119564165575,A1,TBD,DS,False,True,AMT,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022602988711199645,-0.00045887912810477216,0.010817323409827995,0.11866854834437328,0.023160026024792987,0.07049011699164168,False,False,False,False,True
13,AMT020a-51-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,pupil,0.001882318974999096,95.0,0.6701575901544768,0.01133893667892311,0.0317012676135705,0.06508523115172478,0.0,pupil,0.44911119564165575,A1,TBD,DS,False,True,AMT,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022602988711199645,-0.00045887912810477216,0.010817323409827995,0.11866854834437328,0.023160026024792987,0.07049011699164168,False,False,False,False,True
14,AMT020a-51-1,psth.fs20.pup-ld-st.pup0.beh0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.beh0,active,-0.00021190431456449344,95.0,0.6701575901544768,0.01133893667892311,0.2004563372729504,0.2629706186534784,0.0,active,0.44911119564165575,A1,TBD,DS,False,True,AMT,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022602988711199645,-0.00045887912810477216,0.010817323409827995,0.11866854834437328,0.023160026024792987,0.07049011699164168,False,False,False,False,True
